#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.527773   -0.527773           0
           2   -0.538618   -0.533196  0.00383429
           3   -0.542742   -0.536378   0.0036448
           4   -0.529246   -0.534595  0.00313962
           5    -0.51842    -0.53136  0.00383158
           6   -0.498337   -0.525856  0.00595302
           7    -0.49629   -0.521632  0.00642866
           8   -0.500461   -0.518986  0.00614571
           9   -0.517699   -0.518843  0.00546452
          10   -0.509891   -0.517948  0.00499086
          11   -0.536106   -0.519598   0.0048024
          12   -0.523193   -0.519898  0.00441153
          13   -0.515948   -0.519594  0.00408263
          14   -0.502932   -0.518404  0.00396069
          15   -0.525531   -0.518879  0.00372503
          16   -0.505354   -0.518034  0.00358686
          17    -0.48753    -0.51624  0.00379825
          18   -0.502635   -0.515484  0.00366166
          19    -0.53128   -0.516315  0.00356207
          20   -0.531785   -0.517089  0.00346693
          21   -0.521232   -0.517286  0.00330745
          22   -0.524583   -0.517618   0.0031737
          23   -0.538479   -0.518525  0.00316267
          24   -0.554424    -0.52002  0.00336609
          25   -0.612431   -0.523717   0.0048538
          26   -0.621721   -0.527486  0.00595345
          27   -0.628246   -0.531218  0.00680277
          28   -0.619032   -0.534354  0.00724677
          29   -0.618407   -0.537253  0.00755429
          30   -0.636979   -0.540577  0.00800052
          31   -0.603198   -0.542597  0.00799338
          32   -0.584736   -0.543914  0.00785131
          33   -0.579782   -0.545001  0.00768826
          34   -0.575774   -0.545906  0.00751522
          35   -0.582486   -0.546951  0.00737281
          36   -0.585665   -0.548026  0.00724602
          37   -0.565736   -0.548505  0.00706597
          38   -0.587089    -0.54952  0.00695259
          39   -0.646557   -0.552008  0.00720579
          40   -0.683018   -0.555284  0.00773426
          41   -0.697623   -0.558755  0.00828825
          42   -0.735321   -0.562959  0.00909479
          43   -0.792786   -0.568304   0.0103352
          44   -0.868495   -0.575127   0.0121451
          45   -0.974058   -0.583992   0.0147603
          46      -1.129    -0.59584   0.0185962
          47    -1.31386   -0.611117   0.0236575
          48    -1.50889    -0.62982   0.0296503
          49    -1.60363   -0.649694   0.0350789
          50    -1.43597    -0.66542   0.0377378
