#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.41587     1.41587           0
           2     1.42323     1.41955  0.00260161
           3     1.42576     1.42162  0.00242233
           4     1.41689     1.42044  0.00208537
           5     1.40982     1.41831  0.00252799
           6     1.39633     1.41465  0.00395272
           7      1.3952     1.41187  0.00425395
           8     1.39744     1.41007  0.00408675
           9     1.40903     1.40995   0.0036343
          10     1.40445      1.4094  0.00331227
          11     1.42088     1.41045  0.00317111
          12     1.41327     1.41068  0.00291558
          13      1.4082     1.41049  0.00269753
          14     1.39952     1.40971   0.0026161
          15     1.41418     1.41001  0.00245865
          16     1.40139     1.40947  0.00236315
          17     1.38933     1.40828  0.00250355
          18     1.39931     1.40778  0.00241358
          19     1.41834     1.40834  0.00234957
          20     1.41889     1.40887   0.0022906
          21     1.41135     1.40899  0.00218459
          22     1.41392     1.40921  0.00209678
          23     1.42293     1.40981  0.00208875
          24     1.43325     1.41078  0.00221832
          25     1.47232     1.41324  0.00321735
          26     1.47819     1.41574  0.00394594
          27       1.483     1.41823  0.00451816
          28     1.47669     1.42032    0.004815
          29     1.47626     1.42225  0.00502048
          30     1.48842     1.42446  0.00531557
          31     1.46646     1.42581  0.00531402
          32     1.45369     1.42668  0.00521891
          33     1.45075     1.42741  0.00511147
          34     1.44763     1.42801   0.0049956
          35      1.4528     1.42871  0.00490286
          36     1.45399     1.42942  0.00481667
          37     1.44165     1.42975  0.00469782
          38     1.45515     1.43042  0.00462153
          39     1.49472     1.43206  0.00478814
          40     1.51904     1.43424  0.00513846
          41     1.52878     1.43654  0.00550628
          42     1.55338     1.43933  0.00603709
          43     1.59126     1.44286  0.00685311
          44     1.64138     1.44737  0.00804664
          45     1.71138     1.45324  0.00977532
          46     1.81321     1.46106   0.0123026
          47     1.93586     1.47117   0.0156481
          48     2.06566     1.48355   0.0196206
          49     2.13092     1.49676   0.0232465
          50     2.01806     1.50719   0.0250105
