#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.91343     1.91343           0
           2     1.92034     1.91689  0.00244385
           3     1.95585     1.92987    0.010729
           4     1.99217     1.94545   0.0157057
           5     1.99994     1.95635   0.0159029
           6     2.01535     1.96618   0.0160068
           7     2.00693       1.972   0.0147406
           8      1.9938     1.97473   0.0131474
           9     1.97174      1.9744   0.0116908
          10     1.95454     1.97241    0.010689
          11     1.95069     1.97044  0.00989794
          12     1.97897     1.97115  0.00909864
          13     1.97477     1.97143  0.00840301
          14     1.97535     1.97171  0.00780747
          15     1.97651     1.97203  0.00729354
          16     1.96528     1.97161  0.00684985
          17     1.94674     1.97014  0.00660125
          18     1.95826     1.96948  0.00626746
          19     1.94395     1.96814  0.00607997
          20     1.97167     1.96831  0.00577853
          21     2.00575      1.9701  0.00577178
          22     2.01968     1.97235  0.00593319
          23      2.0146     1.97419  0.00595284
          24     2.02385     1.97626  0.00605377
          25     2.04425     1.97898  0.00639348
          26     2.01753     1.98046  0.00631722
          27     1.99376     1.98095  0.00610241
          28     1.96177     1.98027  0.00592281
          29      1.9816     1.98031  0.00571875
          30       1.991     1.98067   0.0055392
          31     2.01303     1.98171  0.00545798
          32     2.03489     1.98338  0.00553458
          33     2.02052      1.9845   0.0054801
          34     1.98602     1.98455   0.0053191
          35      1.9765     1.98432   0.0051721
          36     1.98965     1.98446  0.00503055
          37     1.98297     1.98442  0.00489475
          38     1.97321     1.98413  0.00477483
          39     1.97163     1.98381  0.00466314
          40     1.97895     1.98369  0.00454814
          41     1.97996      1.9836  0.00443812
          42     1.97796     1.98346  0.00433448
          43     1.95403     1.98278  0.00428737
          44     1.94428      1.9819  0.00427826
          45     1.95552     1.98132  0.00422315
          46     1.96571     1.98098  0.00414494
          47     1.95103     1.98034  0.00410542
          48     1.92251     1.97913  0.00419292
          49     1.90909     1.97771  0.00434421
          50     1.92773     1.97671  0.00437079
          51     1.92333     1.97566  0.00440863
          52     1.90684     1.97434  0.00451812
          53     1.90496     1.97303  0.00461859
          54     1.92383     1.97212  0.00462203
          55     1.94958     1.97171  0.00455612
          56     1.95581     1.97142   0.0044836
          57     1.97619     1.97151  0.00440572
          58     1.98299      1.9717   0.0043342
          59     1.98781     1.97198  0.00426933
          60     1.97529     1.97203  0.00419853
          61     1.94823     1.97164   0.0041478
          62     1.91998     1.97081  0.00416376
          63     1.93886      1.9703  0.00412844
          64     1.97908     1.97044  0.00406621
          65     2.00592     1.97098  0.00404013
          66      2.0223     1.97176  0.00405304
          67     2.03425     1.97269  0.00409845
          68     2.01381      1.9733  0.00408253
          69     1.98289     1.97344  0.00402573
          70     1.93816     1.97293  0.00399964
          71     1.95346     1.97266   0.0039527
          72     1.95012     1.97235  0.00391018
          73      1.9797     1.97245  0.00385792
          74     2.00334     1.97286   0.0038283
          75     2.01621     1.97344  0.00382064
          76     2.00432     1.97385  0.00379192
          77     2.01138     1.97434  0.00377387
          78     1.96894     1.97427  0.00372613
          79     1.95376     1.97401  0.00368799
          80     1.98104      1.9741  0.00364294
          81      2.0025     1.97445  0.00361481
          82     2.00356      1.9748  0.00358811
          83     1.96172     1.97464  0.00354835
          84     1.93485     1.97417  0.00353758
          85     1.91253     1.97344  0.00356952
          86      1.9186     1.97281  0.00358453
          87     1.90853     1.97207  0.00361865
          88     1.90674     1.97133  0.00365288
          89     1.90086     1.97053  0.00369664
          90     1.91334      1.9699  0.00370979
          91     1.90402     1.96917  0.00373899
          92     1.91727     1.96861  0.00374067
          93     1.94664     1.96837   0.0037079
          94     1.99372     1.96864  0.00367824
          95     1.99149     1.96888  0.00364738
          96     2.00733     1.96929  0.00363131
          97     2.00285     1.96963  0.00361032
          98     1.99219     1.96986  0.00358081
          99     1.96612     1.96982  0.00354484
         100     1.96095     1.96973   0.0035105
         101     1.95656      1.9696  0.00347816
         102     1.92599     1.96918  0.00347025
         103     1.93903     1.96888  0.00344887
         104     1.95782     1.96878  0.00341735
         105     1.95943     1.96869  0.00338597
         106     1.97727     1.96877  0.00335499
         107     1.97277     1.96881  0.00332384
         108      1.9919     1.96902  0.00329994
         109     2.02105      1.9695  0.00330401
         110     2.04011     1.97014  0.00333575
         111     2.03594     1.97073  0.00335797
         112     2.06692     1.97159  0.00343606
         113     2.05167      1.9723  0.00347796
         114     2.06446     1.97311  0.00354015
         115     2.05685     1.97384  0.00358347
         116     2.03382     1.97435   0.0035897
         117     2.02178     1.97476  0.00358184
         118     1.97923      1.9748  0.00355168
         119      1.9483     1.97457  0.00352881
         120     1.96142     1.97447  0.00350111
         121     1.96039     1.97435   0.0034741
         122     1.95811     1.97422  0.00344817
         123     1.96847     1.97417  0.00342046
         124     1.98205     1.97423  0.00339346
         125     1.98962     1.97436  0.00336855
         126     2.03027      1.9748  0.00337091
         127     2.05593     1.97544  0.00340437
         128     2.04115     1.97595  0.00341625
         129     2.00326     1.97616  0.00339632
         130     1.99454      1.9763  0.00337314
         131     1.96554     1.97622  0.00334839
         132     1.93507     1.97591   0.0033375
         133     1.92539     1.97553  0.00333395
         134     1.94913     1.97533  0.00331489
         135     1.94757     1.97513  0.00329671
         136     1.96127     1.97503  0.00327404
         137     1.98329     1.97509   0.0032507
         138     1.99987     1.97527   0.0032321
         139     2.01203     1.97553  0.00321965
         140     1.99747     1.97569  0.00320047
         141     2.01428     1.97596  0.00318945
         142     2.00803     1.97619  0.00317497
         143     1.99683     1.97633  0.00315605
         144     1.98723     1.97641  0.00313504
         145     2.00418      1.9766  0.00311927
         146     2.00314     1.97678   0.0031032
         147      2.0158     1.97705  0.00309342
         148     1.98922     1.97713  0.00307361
         149       1.955     1.97698  0.00305657
         150     1.97248     1.97695  0.00303634
         151     1.99334     1.97706  0.00301817
         152     1.99648     1.97719  0.00300102
         153     1.96002     1.97707   0.0029835
         154     1.93298     1.97679  0.00297784
         155     1.92771     1.97647  0.00297541
         156      1.9432     1.97626  0.00296397
         157      1.9553     1.97612  0.00294809
         158     1.95033     1.97596  0.00293395
         159      1.9672     1.97591  0.00291601
         160     1.97385     1.97589  0.00289782
         161     2.00182     1.97605  0.00288429
         162     1.98797     1.97613  0.00286743
         163     1.94889     1.97596   0.0028547
         164     1.94623     1.97578  0.00284304
         165     1.92436     1.97547  0.00284284
         166     1.91227     1.97509  0.00285109
         167     1.89805     1.97463   0.0028711
         168     1.90701     1.97422  0.00288208
         169     1.92564     1.97394  0.00287933
         170     1.93233     1.97369  0.00287277
         171     1.92941     1.97343  0.00286762
         172     1.93731     1.97322  0.00285863
         173     1.91138     1.97286  0.00286436
         174     1.95928     1.97279  0.00284896
         175     1.95978     1.97271  0.00283365
         176     1.96453     1.97267  0.00281793
         177     1.98381     1.97273  0.00280272
         178     2.04645     1.97314   0.0028174
         179     2.02882     1.97345  0.00281878
         180     1.99272     1.97356  0.00280516
         181     1.98732     1.97364  0.00279069
         182     2.03579     1.97398  0.00279617
         183      2.0496     1.97439  0.00281127
         184     2.00457     1.97456  0.00280077
         185     1.97992     1.97458  0.00278578
         186     1.99502     1.97469  0.00277297
         187     1.98276     1.97474  0.00275847
         188     1.96287     1.97467  0.00274452
         189     1.94038     1.97449  0.00273599
         190     1.93378     1.97428  0.00272997
