#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59662     1.59662           0
           2     1.59664     1.59663 7.94535e-06
           3     1.59608     1.59645 0.000149272
           4     1.59632     1.59641 0.000115447
           5     1.59598     1.59633 0.000120623
           6     1.59664     1.59638  0.00011143
           7     1.59666     1.59642 0.000102511
           8      1.5964     1.59642 8.97224e-05
           9     1.59681     1.59646 8.95005e-05
          10     1.59669     1.59648 8.33871e-05
          11     1.59621     1.59646 7.95438e-05
          12     1.59646     1.59646 7.29154e-05
          13     1.59679     1.59648 7.17334e-05
          14     1.59642     1.59648 6.67667e-05
          15     1.59662     1.59649 6.29487e-05
          16     1.59651     1.59649 5.90273e-05
          17     1.59694     1.59652 6.12757e-05
          18     1.59639     1.59651 5.83076e-05
          19     1.59617     1.59649 5.78501e-05
          20     1.59668      1.5965 5.56844e-05
          21     1.59608     1.59648 5.65261e-05
          22     1.59729     1.59652 6.47344e-05
          23     1.59646     1.59652 6.19682e-05
          24      1.5962      1.5965 6.07992e-05
          25     1.59682     1.59652 5.97061e-05
          26     1.59681     1.59653 5.84776e-05
          27     1.59706     1.59655 5.95595e-05
          28     1.59668     1.59655 5.76349e-05
          29     1.59653     1.59655 5.56541e-05
          30     1.59622     1.59654 5.48861e-05
          31     1.59653     1.59654 5.31169e-05
          32     1.59691     1.59655 5.27183e-05
          33     1.59671     1.59656 5.13324e-05
          34     1.59727     1.59658 5.40023e-05
          35      1.5962     1.59657 5.35348e-05
          36     1.59614     1.59655 5.33219e-05
          37     1.59722     1.59657 5.48488e-05
          38     1.59656     1.59657 5.34069e-05
          39     1.59709     1.59658 5.36371e-05
          40      1.5959     1.59657 5.49352e-05
          41     1.59683     1.59657 5.39798e-05
          42     1.59653     1.59657 5.27035e-05
          43     1.59674     1.59658 5.16273e-05
          44     1.59668     1.59658 5.05081e-05
          45     1.59669     1.59658 4.94412e-05
          46     1.59663     1.59658 4.83753e-05
          47     1.59696     1.59659 4.79982e-05
          48      1.5968      1.5966 4.71912e-05
          49     1.59688      1.5966 4.65892e-05
          50     1.59624     1.59659 4.62118e-05
          51     1.59673      1.5966 4.53875e-05
          52     1.59686      1.5966 4.47958e-05
          53     1.59683     1.59661 4.41543e-05
          54     1.59634      1.5966 4.36153e-05
          55     1.59651      1.5966 4.28569e-05
          56      1.5966      1.5966 4.20916e-05
          57     1.59693      1.5966 4.17613e-05
          58     1.59651      1.5966 4.10722e-05
          59     1.59687     1.59661 4.06151e-05
          60      1.5967     1.59661 3.99703e-05
          61      1.5972     1.59662 4.04534e-05
          62     1.59682     1.59662 3.99265e-05
          63     1.59636     1.59662  3.9514e-05
          64     1.59693     1.59662 3.91902e-05
