#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.316812   -0.316812           0
           2   -0.323702   -0.320257   0.0024359
           3   -0.359769   -0.333428   0.0108756
           4   -0.395855   -0.349035   0.0157865
           5   -0.403964    -0.36002   0.0160015
           6   -0.418709   -0.369802   0.0160481
           7   -0.410267   -0.375583     0.01476
           8   -0.397401    -0.37831   0.0131645
           9   -0.374934   -0.377935   0.0117071
          10   -0.357854   -0.375927   0.0107073
          11   -0.354485   -0.373977  0.00990972
          12   -0.382513   -0.374689   0.0091094
          13   -0.377975   -0.374942  0.00841218
          14    -0.37893   -0.375226  0.00781613
          15   -0.379893   -0.375537  0.00730125
          16   -0.368774   -0.375115  0.00685714
          17   -0.349795   -0.373625  0.00661355
          18    -0.36187   -0.372972  0.00627829
          19   -0.347773   -0.371646  0.00608633
          20   -0.374991   -0.371813  0.00578431
          21   -0.409669   -0.373616  0.00578294
          22   -0.422395   -0.375833  0.00592993
          23   -0.418143   -0.377673   0.0059506
          24   -0.427654   -0.379755  0.00605613
          25   -0.447431   -0.382462  0.00639031
          26   -0.420724   -0.383934   0.0063117
          27   -0.396696   -0.384407   0.0060956
          28   -0.365085   -0.383717  0.00591683
          29   -0.385079   -0.383764  0.00571299
          30   -0.394778   -0.384131  0.00553434
          31     -0.4165   -0.385175  0.00545343
          32   -0.437975   -0.386825  0.00552699
          33   -0.423809   -0.387946  0.00547196
          34   -0.388745   -0.387969  0.00531107
          35     -0.3803    -0.38775  0.00516384
          36   -0.393509    -0.38791  0.00502288
          37   -0.385748   -0.387852  0.00488746
          38   -0.376653   -0.387557  0.00476772
          39   -0.374544   -0.387223  0.00465714
          40   -0.383047   -0.387119  0.00454188
          41    -0.38312   -0.387021  0.00443215
          42   -0.381427   -0.386888  0.00432862
          43    -0.35729     -0.3862  0.00428233
          44   -0.347601   -0.385322  0.00427391
          45   -0.358837   -0.384734  0.00421927
          46    -0.36909   -0.384394  0.00414123
          47   -0.354075   -0.383749  0.00410305
          48   -0.325717    -0.38254  0.00419191
          49   -0.312207   -0.381104  0.00434516
          50   -0.331491   -0.380112  0.00437009
          51   -0.326592   -0.379063   0.0044086
          52   -0.309982   -0.377734  0.00451955
          53   -0.308133   -0.376421  0.00462113
          54   -0.327497   -0.375515  0.00462351
          55   -0.353072   -0.375107  0.00455742
          56   -0.359207   -0.374823  0.00448487
          57   -0.379254   -0.374901  0.00440686
          58   -0.386476     -0.3751   0.0043354
          59   -0.390946   -0.375369  0.00427023
          60   -0.378584   -0.375422   0.0041994
          61    -0.35103   -0.375023  0.00414955
          62   -0.323161   -0.374186  0.00416608
          63   -0.342502   -0.373683  0.00413019
          64   -0.382155   -0.373816  0.00406778
          65   -0.409655   -0.374367  0.00404239
          66   -0.425833   -0.375147  0.00405566
          67   -0.437297   -0.376074  0.00409984
          68   -0.417386   -0.376682  0.00408431
          69   -0.385545    -0.37681  0.00402714
          70   -0.341342   -0.376304  0.00400135
          71   -0.357151   -0.376034  0.00395408
          72    -0.35358   -0.375722  0.00391144
          73   -0.383083   -0.375823  0.00385916
          74   -0.406887   -0.376243  0.00382977
          75   -0.419745   -0.376823  0.00382238
          76   -0.407422   -0.377225  0.00379323
          77      -0.415   -0.377716  0.00377556
          78   -0.371875   -0.377641   0.0037279
          79   -0.357178   -0.377382   0.0036897
          80   -0.385115   -0.377479  0.00364484
          81    -0.40575   -0.377828  0.00361652
          82   -0.406873   -0.378182  0.00358972
          83   -0.364488   -0.378017  0.00355026
          84    -0.33792    -0.37754  0.00353994
          85   -0.315714   -0.376812  0.00357223
          86   -0.322057   -0.376176  0.00358699
          87   -0.311914   -0.375437  0.00362101
          88   -0.310028   -0.374694  0.00365535
          89   -0.304589   -0.373906  0.00369818
          90   -0.316569   -0.373269  0.00371156
          91   -0.307491   -0.372546   0.0037405
          92   -0.320507    -0.37198  0.00374236
          93   -0.350813   -0.371753  0.00370904
          94   -0.397115   -0.372023  0.00367938
          95   -0.394894   -0.372263  0.00364852
          96   -0.411216   -0.372669    0.003633
          97   -0.406027   -0.373013  0.00361179
          98   -0.395187   -0.373239  0.00358202
          99   -0.369813   -0.373205    0.003546
         100   -0.363803   -0.373111  0.00351179
         101   -0.360224   -0.372983  0.00347933
         102   -0.329365   -0.372555   0.0034714
         103   -0.342278   -0.372261  0.00345012
         104   -0.361782   -0.372161  0.00341842
         105   -0.363256   -0.372076  0.00338692
         106   -0.380739   -0.372158  0.00335595
         107   -0.376354   -0.372197  0.00332482
         108   -0.395608   -0.372414  0.00330109
         109   -0.424927   -0.372895  0.00330577
         110   -0.443937   -0.373541  0.00333821
         111   -0.439628   -0.374137  0.00336081
         112   -0.470675   -0.374999  0.00343956
         113   -0.455413    -0.37571  0.00348196
         114   -0.468178   -0.376521  0.00354463
