#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.8492      0.8492           0
           2      0.8328       0.841  0.00579828
           3      0.4944    0.725467   0.0944117
           4      0.2956       0.618    0.116943
           5      0.0204     0.49848    0.142058
           6     -0.4084    0.347333    0.181802
           7          -1    0.154857    0.236723
           8     -0.3456      0.0923     0.21524
           9     -0.4672   0.0301333      0.2001
          10     -0.7848    -0.05136    0.195984
          11          -1     -0.1376    0.196226
          12     -0.9988   -0.209367    0.192551
          13     -0.9992   -0.270123    0.187079
          14     -0.1012   -0.258057    0.174105
          15      0.9652   -0.176507     0.18059
          16      0.9996      -0.103    0.183655
          17      0.9952     -0.0384    0.183862
          18      0.9996   0.0192667    0.182467
          19           1   0.0708842    0.180017
          20      0.9872      0.1167     0.17675
          21      0.9676    0.157219    0.172915
          22      0.9996    0.195509    0.169242
          23           1    0.230487    0.165458
          24      0.9996    0.262533    0.161638
          25      0.9996    0.292016    0.157838
          26       0.998    0.319169    0.154086
          27           1    0.344385    0.150428
          28      0.9992    0.367771    0.146862
          29      0.8264    0.383586    0.142647
          30      0.9676    0.403053    0.139214
          31           1     0.42231    0.136048
          32      0.9624    0.439188     0.13284
          33      0.9996     0.45617    0.129895
          34      0.9924    0.471941    0.127029
          35      0.9812    0.486491     0.12423
          36           1    0.500756    0.121595
          37           1    0.514249    0.119055
          38      0.9996    0.527021    0.116605
          39      0.9988    0.539118    0.114241
          40       0.966     0.54979    0.111882
          41       0.928    0.559015    0.109533
          42      0.9972    0.569448    0.107421
          43      0.9996    0.579451    0.105387
          44      0.9968    0.588936    0.103418
          45      0.9976    0.598018    0.101518
          46      0.9996    0.606748   0.0996858
          47      0.9996    0.615106   0.0979146
          48      0.9564    0.622217   0.0961326
          49       0.934     0.62858    0.094381
          50      0.7372    0.630752   0.0925184
          51           1    0.637992   0.0909872
          52      0.9924    0.644808   0.0894923
          53      0.7388    0.646581   0.0878213
          54      0.1552    0.637481   0.0866652
          55        0.84    0.641164   0.0851676
          56           1    0.647571   0.0838875
          57      0.9956    0.653677   0.0826377
          58      0.9924    0.659517    0.081419
          59           1    0.665288   0.0802433
          60      0.9996     0.67086   0.0790991
          61      0.9396    0.675266    0.077925
          62      0.9972    0.680458   0.0768409
          63           1     0.68553   0.0757884
          64      0.9984    0.690419   0.0747617
          65      0.9964    0.695126   0.0737596
          66      0.9828    0.699485   0.0727707
          67           1     0.70397   0.0718227
          68           1    0.708324   0.0708983
          69      0.8132    0.709843   0.0698871
          70           1    0.713989   0.0690115
          71       0.984    0.717792   0.0681442
          72      0.9984    0.721689   0.0673091
          73      0.9804    0.725233   0.0664803
          74       0.996    0.728892   0.0656825
          75      0.9864    0.732325   0.0648964
          76           1    0.735847    0.064138
          77      0.9948     0.73921   0.0633932
          78      0.9996    0.742549   0.0626683
          79      0.9972    0.745772   0.0619579
          80           1     0.74895   0.0612648
          81      0.9924    0.751956   0.0605822
          82      0.9996    0.754976   0.0599186
          83           1    0.757928   0.0592694
          84      0.9928    0.760724   0.0586297
          85      0.9992    0.763529    0.058007
