#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.001584      0.3168           0
           2    0.001456       0.304  0.00905097
           3  0.00072384    0.250923   0.0437555
           4-1.15143e-15    0.188192   0.0634688
           5-1.15143e-15    0.150554   0.0609214
           6   6.336e-05    0.127573   0.0549313
           7           0    0.109349    0.050016
           8  0.00075456    0.114544    0.044033
           9  0.00012544    0.104604   0.0402466
          10  0.00159936    0.126131   0.0415823
          11           0    0.114665   0.0393513
          12  0.00018624    0.108213   0.0365971
          13   6.336e-05    0.100864    0.034512
          14  0.00226496    0.126016     0.04018
          15  0.00090304    0.129655   0.0376658
          16   6.336e-05    0.122344   0.0360144
          17  0.00047104    0.120689   0.0339339
          18   6.336e-05    0.114688   0.0325749
          19           0    0.108652   0.0314148
          20  0.00052416    0.108461   0.0298446
          21    0.001024    0.113048   0.0287739
          22   6.336e-05    0.108486   0.0278253
          23           0    0.103769   0.0270124
          24   6.336e-05   0.0999733   0.0261522
          25   6.336e-05   0.0964813   0.0253382
          26  0.00018624   0.0942031   0.0244658
          27           0   0.0907141   0.0238072
          28  0.00012544   0.0883703    0.023072
          29  0.00154816       0.096   0.0235041
          30  0.00106176   0.0998784   0.0230384
          31           0   0.0966565   0.0225194
          32  0.00126144     0.10152   0.0223347
          33   6.336e-05   0.0988276   0.0218195
          34  0.00036096   0.0980442   0.0211918
          35  0.00094464    0.100641   0.0207448
          36           0   0.0978453   0.0203561
          37           0   0.0952009    0.019977
          38   6.336e-05   0.0930291   0.0195689
          39  0.00018624   0.0915988   0.0191194
          40  0.00126144    0.095616   0.0190588
          41      0.0012   0.0991376   0.0189165
          42  0.00024576   0.0979474   0.0185035
          43   6.336e-05   0.0959643   0.0181791
          44    0.000304   0.0951651   0.0177835
          45  0.00012544   0.0936078   0.0174564
          46   6.336e-05   0.0918483   0.0171653
          47   6.336e-05   0.0901637   0.0168826
          48  0.00107264   0.0927547   0.0167285
          49  0.00144576   0.0967628   0.0168604
          50  0.00131776    0.100099     0.01685
          51           0   0.0981358   0.0166335
          52  0.00036096   0.0976369   0.0163211
          53  0.00113344    0.100072   0.0161938
          54  0.00012544   0.0986833   0.0159533
          55  0.00368384    0.110285    0.019429
          56           0    0.108315   0.0191816
          57  0.00047104    0.108068   0.0188467
          58  0.00047104    0.107829   0.0185232
          59           0    0.106001   0.0182992
          60   6.336e-05    0.104446   0.0180602
          61    0.002224    0.110025   0.0186061
          62  0.00024576    0.109044   0.0183319
          63           0    0.107313   0.0181224
          64  0.00012544    0.106028   0.0178847
          65    0.000304    0.105332   0.0176231
          66  0.00098496    0.106721   0.0174107
          67           0    0.105128   0.0172236
          68           0    0.103582   0.0170395
          69  0.00213696    0.108275   0.0174269
          70           0    0.106728   0.0172464
          71  0.00062656     0.10699   0.0170055
          72  0.00018624    0.106021   0.0167969
          73  0.00077056     0.10668   0.0165797
          74  0.00024576    0.105903   0.0163739
          75    0.000576    0.106027    0.016156
          76           0    0.104632   0.0160035
          77  0.00024576    0.103911   0.0158119
          78   6.336e-05    0.102741   0.0156524
          79    0.000304     0.10221   0.0154633
          80           0    0.100933   0.0153227
          81  0.00047104     0.10085   0.0151337
          82   6.336e-05   0.0997744   0.0149873
          83           0   0.0985723   0.0148549
          84  0.00052416   0.0986469   0.0146782
          85   6.336e-05   0.0976354   0.0145404
          86  0.00152256    0.100041   0.0145689
          87  0.00139264    0.102093   0.0145452
          88  0.00113344    0.103508   0.0144486
          89  0.00067584    0.103864   0.0142907
          90    0.000304    0.103386   0.0141399
          91    0.000304    0.102918   0.0139923
          92  0.00041664    0.102705   0.0138418
          93   6.336e-05    0.101737   0.0137268
          94  0.00090304    0.102576   0.0136064
          95           0    0.101496   0.0135059
          96           0    0.100439   0.0134065
          97    0.000304     0.10003   0.0132746
          98           0   0.0990093   0.0131783
          99   6.336e-05   0.0981372    0.013074
         100  0.00150784    0.100172   0.0131006
         101  0.00109824    0.101354   0.0130242
         102  0.00143616    0.103177   0.0130233
         103   6.336e-05    0.102298   0.0129265
         104-1.15143e-15    0.101314   0.0128396
         105-1.15143e-15     0.10035   0.0127535
         106   6.336e-05   0.0995224     0.01266
         107  0.00098816    0.100439   0.0125748
         108           0   0.0995093   0.0124927
         109  0.00086016    0.100175   0.0123958
         110  0.00012544   0.0994921   0.0123019
         111  0.00159424    0.101468   0.0123488
         112   6.336e-05    0.100675    0.012264
         113   6.336e-05   0.0998966   0.0121801
         114  0.00129024    0.101284    0.012152
         115  0.00018624    0.100727   0.0120591
         116   6.336e-05    0.099968    0.011979
         117           0   0.0991136   0.0119071
         118   6.336e-05    0.098381   0.0118287
         119  0.00018624   0.0978673   0.0117404
         120  0.00012544   0.0972608   0.0116583
         121  0.00169216    0.099254    0.011731
         122  0.00047104   0.0992126    0.011635
         123   6.336e-05    0.098509   0.0115616
         124    0.000304   0.0982049   0.0114724
         125           0   0.0974193   0.0114075
         126   6.336e-05   0.0967467   0.0113367
         127  0.00024576   0.0963719   0.0112537
         128  0.00048896    0.096383   0.0111658
         129  0.00036096   0.0961955   0.0110808
         130  0.00012544   0.0956485    0.011009
         131  0.00109824   0.0965951   0.0109656
         132           0   0.0958633   0.0109069
         133   6.336e-05   0.0952378   0.0108428
         134   6.336e-05   0.0946216   0.0107794
         135  0.00131776   0.0958729    0.010772
         136  0.00122624   0.0969713   0.0107486
         137           0   0.0962635   0.0106934
         138  0.00106176   0.0971047    0.010649
         139  0.00012544   0.0965866    0.010585
         140   6.336e-05   0.0959872   0.0105263
         141  0.00094464   0.0966464   0.0104723
         142  0.00012544   0.0961424   0.0104106
         143  0.00062656   0.0963464   0.0103398
         144           0   0.0956773   0.0102897
         145  0.00156864   0.0971811    0.010328
         146  0.00080384   0.0976167   0.0102664
