#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     74.8976     74.8976           0
           2     75.3664      75.132    0.165746
           3     27.4688     59.2443     12.9728
           4      11.048     47.1952     14.2671
           5      1.5472     38.0656     14.0339
           6     23.1024     35.5717     11.9145
           7         100     44.7758     13.3006
           8     24.2496       42.21     11.8829
           9      24.864     40.2827     10.7177
          10     67.7344     43.0278     9.99135
          11         100     48.2071     10.3387
          12     99.7648     52.5036     10.3314
          13     99.8464     56.1454     10.1582
          14     55.7424     56.1166     9.43269
          15      93.896     58.6352     9.13391
          16     99.9216     61.2156     8.92009
          17      99.072     63.4424     8.66888
          18     99.9216     65.4691     8.42084
          19         100     67.2865      8.1714
          20     97.6384     68.8041      7.9025
          21     94.1968     70.0133     7.61814
          22     99.9216     71.3727     7.39216
          23         100     72.6174     7.17479
          24     99.9216     73.7551     6.96545
          25     99.9216     74.8017     6.76501
          26     99.6144     75.7561     6.57179
          27         100      76.654     6.38944
          28     99.8432     77.4822     6.21469
          29     71.6064     77.2796     6.00369
          30     94.1616     77.8423     5.82988
          31         100     78.5571     5.68547
          32     93.1296     79.0124       5.526
          33     99.9216     79.6461     5.39475
          34     98.6064     80.2037     5.26483
          35      96.472     80.6685     5.13488
          36         100     81.2055     5.02024
          37         100     81.7135     4.91019
          38     99.9216     82.1926      4.8043
          39     99.7648     82.6432     4.70219
          40     93.7008     82.9196     4.59276
          41     88.1568     83.0474     4.48251
          42      99.464     83.4382      4.3928
          43     99.9216     83.8216     4.30733
          44     99.3856     84.1753     4.22394
          45     99.5488     84.5169     4.14386
          46     99.9216     84.8518     4.06729
          47     99.9216     85.1725     3.99337
          48     92.5232     85.3256     3.91311
          49     88.5904     85.3922     3.83382
          50     58.0144     84.8447     3.79604
          51         100     85.1418     3.73322
          52        98.6     85.4006     3.67039
          53     57.7232     84.8784      3.6381
          54      6.4864     83.4267     3.84948
          55     77.3056     83.3154      3.7811
          56         100     83.6134      3.7253
          57     99.1472     83.8859      3.6699
