#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.115338    0.115338           0
           2    0.107924    0.111631  0.00262124
           3    0.119308     0.11419  0.00272386
           4     0.10556    0.112033   0.0027686
           5     0.10842     0.11131  0.00230724
           6    0.113783    0.111722  0.00195916
           7    0.115458    0.112256  0.00175047
           8    0.110304    0.112012  0.00154858
           9    0.105599    0.111299  0.00153171
          10    0.105115    0.110681  0.00149819
          11    0.105894    0.110246  0.00142379
          12     0.11038    0.110257  0.00130519
          13    0.126674     0.11152  0.00170984
          14     0.11479    0.111753  0.00160358
          15   0.0974396    0.110799  0.00175782
          16    0.116856    0.111178  0.00168822
          17    0.111683    0.111207  0.00158918
          18    0.112981    0.111306  0.00150394
          19    0.102987    0.110868  0.00148715
          20    0.114005    0.111025  0.00142104
