#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0340628   0.0340628           0
           2   0.0340128   0.0340378 1.76777e-05
           3   0.0309888   0.0330215 0.000829916
           4   0.0329352   0.0329999 0.000622717
           5   0.0292428   0.0322485  0.00083659
           6   0.0299608   0.0318672 0.000779214
           7   0.0293016   0.0315007 0.000749153
           8   0.0313168   0.0314777 0.000655861
           9    0.033816   0.0317375 0.000632358
          10   0.0340192   0.0319657 0.000608896
          11   0.0289232   0.0316891 0.000613152
          12   0.0304392   0.0315849 0.000570835
          13   0.0312144   0.0315564 0.000527635
          14   0.0283652   0.0313285 0.000536932
          15   0.0321984   0.0313865 0.000504259
          16   0.0339596   0.0315473 0.000497727
          17   0.0276684   0.0313191 0.000518115
          18    0.031694     0.03134  0.00048975
          19   0.0352728   0.0315469 0.000505828
          20   0.0302652   0.0314829 0.000484579
