#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00248959    0.411502           0
           2  0.00240872    0.404819  0.00472581
           3  0.00237122    0.400525  0.00471341
           4  0.00237757     0.39864  0.00389362
           5  0.00242627     0.39912  0.00314426
           6  0.00243069    0.399561  0.00265099
           7  0.00233156    0.397535  0.00294619
           8    0.002304    0.395447  0.00323466
           9  0.00247575    0.396976  0.00321675
          10  0.00241189    0.397145  0.00289948
          11  0.00232094    0.395916  0.00288457
          12  0.00234916     0.39528  0.00271328
          13  0.00243692    0.395859  0.00256544
          14   0.0023802    0.395685  0.00238809
          15  0.00248543    0.396693  0.00243259
          16  0.00237086    0.396392  0.00229909
          17  0.00245408    0.396936  0.00222719
          18  0.00250643      0.3979  0.00230261
          19  0.00228084      0.3968  0.00243003
          20  0.00229283    0.395909  0.00246647
