#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00651983      0.4512           0
           2  0.00627547    0.442744  0.00597886
           3  0.00639653    0.442718  0.00398596
           4  0.00642958    0.443277  0.00302838
           5  0.00634572    0.442452  0.00253267
           6  0.00642711     0.44284  0.00214015
           7  0.00630305    0.441891  0.00203398
           8  0.00634947    0.441581  0.00180323
           9  0.00637425     0.44153  0.00160359
          10  0.00638079    0.441535  0.00144324
          11  0.00634997    0.441345  0.00132449
          12  0.00630564    0.440931  0.00127719
          13  0.00648017     0.44151  0.00130349
          14  0.00627573    0.440995    0.001308
          15  0.00626719     0.44051  0.00130773
          16  0.00632997    0.440357  0.00123492
          17  0.00625925    0.439934  0.00123258
          18  0.00615696    0.439164  0.00138349
          19   0.0063893    0.439322  0.00131966
          20  0.00632804    0.439253  0.00125552
