#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     55.2079     55.2079           0
           2     59.7228     57.4654     1.59626
           3     60.2058     58.3788     1.29952
           4     61.9743     59.2777     1.24736
           5     58.6784     59.1578     1.00363
           6     58.2734     59.0104    0.847115
           7      61.058     59.3029    0.774958
           8     60.2245     59.4181    0.686595
           9     55.6373      58.998    0.727563
          10     61.7528     59.2735    0.705031
          11     62.5276     59.5693    0.700255
          12     62.8568     59.8433    0.693423
          13     60.4024     59.8863    0.641415
          14      59.968     59.8921    0.595626
          15     59.8895      59.892    0.555918
          16     59.6249     59.8753    0.521423
          17      61.106     59.9477    0.495752
          18     57.4604     59.8095    0.487088
          19      61.335     59.8898    0.468022
          20     59.9684     59.8937    0.444638
