#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     42.8405     42.8405           0
           2     44.7688     43.8047    0.681741
           3     43.2916     43.6336    0.475461
           4      44.682     43.8957    0.422705
           5     44.0866     43.9339    0.339884
           6     43.0594     43.7882    0.312932
           7     43.1419     43.6958    0.281518
           8     45.2327     43.8879    0.304909
           9     43.2344     43.8153    0.279543
          10     43.5718      43.791    0.252646
          11      46.497      44.037     0.32828
          12     45.3442     44.1459    0.318485
          13     46.1014     44.2963    0.327587
          14     43.8391     44.2637    0.305812
          15     46.2485      44.396    0.312745
          16     45.7293     44.4793    0.304098
          17     44.6582     44.4899    0.286392
          18     44.7715     44.5055    0.270908
          19     44.0725     44.4827    0.257607
          20     44.5172     44.4844    0.244732
