#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.972372   -0.972372           0
           2   -0.974445   -0.973408 0.000732845
           3   -0.974958   -0.973925  0.00064549
           4   -0.974514   -0.974072  0.00050065
           5   -0.973533   -0.973964 0.000411987
           6   -0.973367   -0.973865 0.000355146
           7    -0.97442   -0.973944 0.000313138
           8   -0.973522   -0.973891 0.000278416
           9    -0.97541    -0.97406 0.000294224
          10   -0.974864   -0.974141 0.000275563
          11   -0.976352   -0.974342 0.000315435
          12   -0.973072   -0.974236 0.000306378
          13   -0.976904   -0.974441 0.000344772
          14   -0.976983   -0.974623 0.000364842
          15   -0.974728    -0.97463 0.000340587
          16   -0.973193    -0.97454 0.000330928
          17    -0.97559   -0.974602 0.000317179
          18   -0.974297   -0.974585  0.00030001
          19   -0.973858   -0.974546 0.000286645
          20   -0.974313   -0.974535 0.000272551
