#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.826263   -0.826263           0
           2   -0.824794   -0.825528 0.000519582
           3   -0.827199   -0.826085 0.000571636
           4   -0.825777   -0.826008   0.0004339
           5   -0.825913   -0.825989 0.000347539
           6   -0.825585   -0.825922 0.000296077
           7   -0.826637   -0.826024  0.00027083
           8   -0.825458   -0.825953 0.000246028
           9    -0.82579   -0.825935 0.000219362
          10   -0.826985    -0.82604 0.000221122
          11   -0.826002   -0.826037 0.000201047
          12   -0.826375   -0.826065 0.000186263
          13   -0.826018   -0.826061  0.00017197
          14   -0.825971   -0.826055 0.000159807
          15     -0.8256   -0.826024 0.000152001
          16   -0.826424   -0.826049 0.000144538
          17   -0.827388   -0.826128 0.000156017
          18    -0.82733   -0.826195 0.000160995
          19    -0.82725    -0.82625 0.000161809
          20    -0.82625    -0.82625 0.000153719
