# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.55618e-05 5.09487e-06
    0.872088   0.0012747 5.47243e-05
    0.897737   0.0242115 0.000263179
    0.923387    0.164513 0.000837646
    0.949037    0.563603  0.00165155
    0.974686     1.20203  0.00264485
     1.00034     1.86378  0.00260143
     1.02599     2.33636  0.00206166
     1.05164     2.55348  0.00237898
     1.07728     2.55203  0.00197861
     1.10293      2.4069  0.00198013
     1.12858     2.20034  0.00196368
     1.15423     1.97368  0.00220071
     1.17988     1.75453  0.00205716
     1.20553     1.55881  0.00199996
     1.23118     1.38864  0.00189369
     1.25683     1.24459  0.00166043
     1.28248      1.1226  0.00151326
     1.30813     1.02258  0.00120077
     1.33378    0.939922   0.0011583
     1.35943    0.873043  0.00107714
     1.38508    0.818588  0.00117914
     1.41073    0.773615   0.0010348
     1.43638    0.738911  0.00113696
     1.46203    0.712706  0.00104575
     1.48768    0.691735  0.00108803
     1.51333    0.679443  0.00111137
     1.53898    0.672785 0.000971388
     1.56463    0.671489  0.00115315
     1.59028    0.674969 0.000931776
     1.61593    0.685957 0.000975786
     1.64158    0.701361 0.000920274
     1.66723    0.722501 0.000937225
     1.69288    0.748528 0.000982949
     1.71853    0.778396 0.000981559
     1.74418     0.81479  0.00095102
     1.76983    0.852138 0.000857314
     1.79547    0.892877 0.000940601
     1.82112    0.935766  0.00107898
     1.84677    0.976878   0.0011441
     1.87242     1.01685  0.00103733
     1.89807     1.05732  0.00121403
     1.92372     1.09556  0.00102141
     1.94937     1.13013  0.00107278
     1.97502     1.16114 0.000989852
     2.00067     1.18525 0.000831758
     2.02632     1.20456 0.000845999
     2.05197     1.21435 0.000844329
     2.07762     1.21646 0.000902817
     2.10327     1.20886 0.000997619
     2.12892     1.19578   0.0010261
     2.15457     1.17526 0.000972812
     2.18022     1.15208  0.00102549
     2.20587     1.12407 0.000964603
     2.23152     1.09636   0.0009451
     2.25717      1.0678 0.000886901
     2.28282     1.03999  0.00100906
     2.30847     1.01386 0.000864331
     2.33412    0.989139 0.000776361
     2.35977    0.968438 0.000742503
     2.38542    0.947664 0.000792966
     2.41107    0.931513  0.00078922
     2.43672    0.918229 0.000835812
     2.46237    0.908332  0.00073148
     2.48802    0.419928 0.000455289
     2.51366           0           0
     2.53931           0           0
