#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.42845     1.42845           0
           2     1.23025     1.32935   0.0700717
           3     1.34917     1.33596    0.047025
           4      1.4208     1.35717   0.0397652
           5     1.49743     1.38522   0.0405165
           6     1.53031      1.4094   0.0403399
           7     1.38236     1.40554   0.0347615
           8     1.54535     1.42302   0.0345312
           9     1.52539     1.43439   0.0325139
          10     1.54706     1.44566   0.0311536
          11     1.35418     1.43734   0.0294106
          12     1.26807     1.42323   0.0301534
          13     1.37146     1.41925   0.0280957
          14     1.33492     1.41323   0.0267267
          15     1.37577     1.41073   0.0250613
          16     1.34276     1.40648   0.0238523
          17     1.28829     1.39953   0.0234406
          18     1.28125     1.39296   0.0230411
          19     1.54293     1.40085   0.0231409
          20     1.35636     1.39863   0.0220906
          21     1.46175     1.40163   0.0212421
          22     1.44476     1.40359   0.0203668
          23     1.28338     1.39837   0.0201408
          24     1.35084     1.39639   0.0193987
          25     1.45372     1.39868   0.0187578
          26     1.37928     1.39793   0.0180512
          27     1.30519      1.3945   0.0177064
          28     1.35844     1.39321   0.0171208
          29     1.38605     1.39296   0.0165322
          30     1.41053     1.39355   0.0159915
          31      1.5289     1.39792   0.0160607
          32     1.35663     1.39663   0.0156105
          33     1.32414     1.39443   0.0152912
          34     1.38655      1.3942   0.0148432
          35     1.39117     1.39411   0.0144194
          36     1.53414       1.398    0.014534
          37     1.44665     1.39932   0.0142005
          38     1.37929     1.39879   0.0138366
          39     1.40633     1.39898   0.0134831
          40     1.50753      1.4017   0.0134164
          41     1.46529     1.40325   0.0131785
          42     1.44607     1.40427   0.0129041
          43     1.28505     1.40149   0.0128984
          44     1.46769       1.403   0.0126927
          45     1.37909     1.40247   0.0124218
          46      1.4647     1.40382   0.0122252
          47     1.27108       1.401    0.012287
          48     1.48933     1.40284    0.012168
          49     1.49536     1.40472   0.0120653
          50     1.41176     1.40486   0.0118249
          51     1.36162     1.40402   0.0116234
          52     1.30182     1.40205   0.0115648
          53     1.56404     1.40511   0.0117435
          54      1.3854     1.40474   0.0115317
          55     1.46073     1.40576   0.0113669
          56     1.45932     1.40672   0.0112041
          57     1.51078     1.40854   0.0111553
          58     1.39736     1.40835   0.0109646
          59     1.42531     1.40864   0.0107825
          60     1.18865     1.40497   0.0112089
          61     1.51202     1.40673   0.0111617
          62     1.35043     1.40582   0.0110185
          63     1.26915     1.40365   0.0110551
          64     1.58515     1.40648   0.0112403
          65     1.33495     1.40538   0.0111211
          66     1.26136      1.4032   0.0111646
          67      1.3061     1.40175   0.0110916
          68     1.24005     1.39937   0.0111806
          69     1.40288     1.39943   0.0110186
          70     1.48454     1.40064   0.0109281
          71     1.43969     1.40119    0.010788
          72     1.43698     1.40169   0.0106496
          73     1.33123     1.40072   0.0105474
          74      1.4672     1.40162    0.010443
          75     1.43477     1.40206   0.0103132
          76     1.42529     1.40237    0.010182
          77     1.25809      1.4005   0.0102207
          78     1.32224     1.39949   0.0101388
          79     1.47755     1.40048   0.0100585
          80     1.44259     1.40101  0.00994651
          81     1.41635      1.4012  0.00982552
          82     1.36159     1.40071  0.00971756
          83     1.29003     1.39938  0.00969155
          84     1.61695     1.40197  0.00991626
          85     1.34574     1.40131  0.00982163
          86     1.38695     1.40114  0.00970885
          87     1.41295     1.40128   0.0095982
          88     1.27557     1.39985  0.00959485
          89     1.38837     1.39972  0.00948791
          90     1.47086     1.40051  0.00941536
          91     1.35111     1.39997  0.00932753
          92     1.28115     1.39868  0.00931512
          93     1.38036     1.39848  0.00921704
          94     1.31822     1.39762  0.00915845
          95     1.31848     1.39679  0.00909986
          96     1.41726     1.39701  0.00900756
          97     1.36305     1.39665   0.0089215
          98     1.38553     1.39654  0.00883119
          99      1.3873     1.39645  0.00874248
         100     1.32133      1.3957  0.00868726
