# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 9.72615e-07 9.67739e-07
    0.872088  0.00134807 0.000128384
    0.897737   0.0270731 0.000716277
    0.923387    0.175883  0.00162552
    0.949037    0.578164  0.00306532
    0.974686     1.22655  0.00495731
     1.00034      1.8882  0.00645328
     1.02599     2.34479  0.00580706
     1.05164     2.55912   0.0070116
     1.07728     2.54529  0.00678344
     1.10293     2.40209  0.00648298
     1.12858     2.19351  0.00621457
     1.15423     1.96741  0.00531109
     1.17988     1.74484  0.00544959
     1.20553     1.55029  0.00514261
     1.23118     1.38065  0.00552219
     1.25683     1.23489  0.00468295
     1.28248     1.10857  0.00392839
     1.30813     1.01236  0.00438059
     1.33378    0.925502  0.00418443
     1.35943    0.858217  0.00389362
     1.38508    0.808785  0.00365886
     1.41073    0.766345  0.00363132
     1.43638    0.735495  0.00377884
     1.46203    0.713232  0.00313444
     1.48768     0.69462  0.00292104
     1.51333    0.683642  0.00321557
     1.53898    0.677833  0.00310038
     1.56463    0.679227  0.00325637
     1.59028    0.681621  0.00294687
     1.61593    0.689136  0.00272916
     1.64158    0.704812  0.00273544
     1.66723       0.728  0.00259717
     1.69288    0.753041  0.00300863
     1.71853     0.78584  0.00270589
     1.74418    0.820038  0.00275044
     1.76983    0.857747  0.00284918
     1.79547    0.902493  0.00323772
     1.82112    0.944097  0.00320529
     1.84677     0.98102  0.00306618
     1.87242     1.02066  0.00281041
     1.89807     1.06102  0.00303229
     1.92372     1.09726  0.00314952
     1.94937     1.13067  0.00299499
     1.97502     1.16209  0.00281802
     2.00067     1.18709  0.00286255
     2.02632      1.2032  0.00269296
     2.05197     1.21266  0.00287956
     2.07762     1.21556  0.00249718
     2.10327     1.20967   0.0029909
     2.12892     1.19346  0.00260597
     2.15457     1.17285  0.00245561
     2.18022     1.15226  0.00245378
     2.20587     1.11873  0.00286866
     2.23152     1.09085  0.00304035
     2.25717     1.06111  0.00246458
     2.28282     1.03121  0.00244354
     2.30847     1.00489  0.00243113
     2.33412    0.981179  0.00245103
     2.35977    0.957886  0.00252918
     2.38542    0.937589  0.00233803
     2.41107    0.923358  0.00230653
     2.43672    0.912233  0.00239606
     2.46237    0.902486   0.0023567
     2.48802    0.415668  0.00121896
     2.51366           0           0
     2.53931           0           0
