#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64481     1.64481           0
           2     1.68744     1.66612   0.0150719
           3     1.69712     1.67646   0.0131207
           4     1.67256     1.67548  0.00987655
           5     1.68562     1.67751  0.00810659
           6     1.65849     1.67434  0.00734921
           7     1.69505      1.6773  0.00686931
           8     1.67906     1.67752  0.00601418
           9     1.66623     1.67626  0.00547526
          10     1.67285     1.67592  0.00493834
          11     1.67535     1.67587  0.00448967
          12     1.67619      1.6759  0.00411561
          13     1.68542     1.67663  0.00386372
          14     1.67049     1.67619  0.00361251
          15     1.66935     1.67574  0.00340033
          16      1.6802     1.67602  0.00319924
          17     1.67042     1.67569  0.00302796
          18     1.70205     1.67715  0.00319438
          19     1.68224     1.67742  0.00303747
          20     1.63982     1.67554  0.00341832
          21     1.65817     1.67471  0.00335411
          22     1.69486     1.67563  0.00332433
          23     1.68371     1.67598  0.00319832
          24     1.65132     1.67495  0.00322589
          25      1.6479     1.67387  0.00327329
          26     1.65573     1.67317  0.00322092
          27     1.67963     1.67341  0.00311051
          28     1.68405     1.67379  0.00302255
          29     1.65213     1.67304  0.00300916
          30     1.65174     1.67233  0.00299147
          31     1.69084     1.67293  0.00295391
          32     1.68566     1.67333  0.00288826
          33      1.6733     1.67333  0.00280074
          34     1.64136     1.67239  0.00287181
          35     1.64343     1.67156  0.00290649
          36     1.69003     1.67207  0.00287069
          37     1.67971     1.67228  0.00280052
          38     1.68513     1.67262  0.00274715
          39     1.63837     1.67174  0.00281359
          40     1.63823      1.6709  0.00286526
          41     1.68044     1.67113  0.00280481
          42     1.66625     1.67102  0.00274043
          43     1.67002     1.67099   0.0026768
          44     1.62634     1.66998  0.00280179
          45     1.69269     1.67048   0.0027846
          46      1.6506     1.67005  0.00275742
          47      1.6472     1.66957  0.00274127
          48     1.68694     1.66993  0.00270796
          49      1.6756     1.67004  0.00265517
          50     1.65429     1.66973  0.00262069
          51     1.66769     1.66969  0.00256961
          52     1.66124     1.66953  0.00252533
          53     1.67905     1.66971  0.00248406
          54     1.67592     1.66982  0.00244072
          55     1.65292     1.66951  0.00241561
          56     1.63429     1.66888  0.00245299
          57     1.65663     1.66867  0.00241936
          58     1.62548     1.66793   0.0024896
          59     1.67003     1.66796  0.00244766
          60     1.65847      1.6678  0.00241197
          61     1.66681     1.66779  0.00237248
          62     1.63586     1.66727  0.00238944
          63     1.62158     1.66655  0.00245912
          64     1.67944     1.66675  0.00242893
          65     1.69487     1.66718  0.00242978
          66     1.67486      1.6673  0.00239575
          67     1.62552     1.66667  0.00243978
          68     1.69448     1.66708  0.00243793
          69     1.66211     1.66701  0.00240366
          70     1.64066     1.66663  0.00239861
          71     1.63801     1.66623  0.00239846
          72     1.65742     1.66611  0.00236827
          73     1.67286      1.6662  0.00233763
          74     1.66749     1.66622  0.00230611
          75     1.67705     1.66636  0.00227988
          76     1.66027     1.66628  0.00225129
          77     1.65412     1.66612  0.00222759
          78     1.66756     1.66614   0.0021991
          79     1.68118     1.66633  0.00217948
          80     1.66218     1.66628  0.00215286
          81     1.67588      1.6664  0.00212954
          82     1.66088     1.66633  0.00210463
          83     1.64951     1.66613  0.00208901
          84     1.67837     1.66628  0.00206921
          85     1.69541     1.66662  0.00207305
          86     1.65833     1.66652  0.00205119
          87     1.67375      1.6666  0.00202929
          88     1.67126     1.66666  0.00200692
          89     1.64544     1.66642  0.00199848
          90     1.70272     1.66682  0.00201657
          91     1.66498      1.6668  0.00199451
          92     1.66428     1.66678  0.00197302
          93      1.6666     1.66677  0.00195181
          94     1.66666     1.66677  0.00193104
          95     1.67459     1.66685  0.00191247
          96     1.66813     1.66687  0.00189259
          97     1.68082     1.66701  0.00187854
          98     1.68069     1.66715  0.00186455
          99     1.69375     1.66742  0.00186497
         100     1.64646     1.66721  0.00185806
