#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42182    -5.42182           0
           2    -5.46566    -5.44374   0.0154994
           3    -5.47495    -5.45415   0.0133761
           4    -5.44954    -5.45299   0.0100816
           5    -5.45973    -5.45434   0.0081548
           6    -5.43609     -5.4513  0.00734088
           7    -5.47265    -5.45435  0.00689678
           8    -5.45586    -5.45454  0.00603728
           9    -5.44231    -5.45318  0.00551719
          10    -5.44816    -5.45268  0.00498825
          11    -5.45214    -5.45263  0.00453501
          12    -5.45197    -5.45258  0.00415742
          13    -5.46419    -5.45347  0.00393251
          14    -5.44732    -5.45303  0.00367603
          15    -5.44528    -5.45251  0.00346708
          16    -5.45636    -5.45275  0.00325871
          17     -5.4467     -5.4524  0.00308642
          18    -5.47926    -5.45389  0.00325575
          19    -5.45826    -5.45412  0.00309249
          20    -5.41538    -5.45218  0.00349223
          21    -5.43371     -5.4513  0.00343496
          22    -5.47462    -5.45236  0.00343846
          23    -5.46044    -5.45271  0.00330687
          24    -5.42859    -5.45171  0.00331827
          25    -5.42477    -5.45063  0.00335591
          26    -5.43138    -5.44989  0.00330754
          27    -5.45682    -5.45015  0.00319497
          28    -5.46147    -5.45055  0.00310636
          29    -5.42844    -5.44979  0.00309138
          30     -5.4265    -5.44901  0.00308426
          31    -5.46811    -5.44963   0.0030457
          32    -5.46259    -5.45003  0.00297732
          33    -5.44928    -5.45001  0.00288719
          34     -5.4176    -5.44906  0.00295544
          35    -5.41692    -5.44814  0.00301026
          36    -5.46864    -5.44871  0.00297999
          37    -5.45582     -5.4489  0.00290564
          38    -5.46004    -5.44919  0.00284392
          39    -5.41366    -5.44828  0.00291327
          40    -5.41562    -5.44747   0.0029527
          41    -5.45653    -5.44769  0.00288893
          42    -5.44079    -5.44752  0.00282482
          43     -5.4461    -5.44749  0.00275932
          44     -5.4023    -5.44646  0.00288143
          45    -5.46831    -5.44695  0.00285799
          46    -5.42624     -5.4465  0.00283111
          47    -5.42221    -5.44598  0.00281763
          48    -5.46452    -5.44637  0.00278527
          49    -5.45169    -5.44648  0.00273054
          50    -5.42911    -5.44613  0.00269793
          51    -5.44706    -5.44615  0.00264509
          52    -5.43883    -5.44601  0.00259797
          53    -5.45711    -5.44622  0.00255739
          54     -5.4509     -5.4463   0.0025115
          55    -5.42813    -5.44597  0.00248746
          56    -5.40876    -5.44531  0.00253027
          57    -5.43231    -5.44508  0.00249612
          58    -5.40129    -5.44433  0.00256474
          59    -5.44744    -5.44438  0.00252181
          60    -5.43502    -5.44422   0.0024846
          61    -5.44233    -5.44419  0.00244406
          62    -5.41268    -5.44368   0.0024569
          63    -5.39938    -5.44298  0.00251653
          64    -5.45426    -5.44316  0.00248338
          65    -5.47242    -5.44361  0.00248564
          66    -5.44957     -5.4437  0.00244963
          67    -5.40114    -5.44306  0.00249405
          68    -5.47289     -5.4435  0.00249566
          69    -5.43816    -5.44342  0.00246069
          70    -5.41588    -5.44303   0.0024568
          71    -5.41337    -5.44261  0.00245746
          72    -5.43272    -5.44247  0.00242716
          73    -5.44955    -5.44257  0.00239585
          74     -5.4458    -5.44261  0.00236387
          75    -5.45429    -5.44277  0.00233747
          76    -5.43679    -5.44269  0.00230804
          77    -5.43047    -5.44253  0.00228352
          78    -5.44481    -5.44256  0.00225443
          79    -5.45802    -5.44276  0.00223437
          80    -5.43914    -5.44271  0.00220689
          81    -5.45293    -5.44284  0.00218325
          82    -5.43824    -5.44278  0.00215735
          83    -5.42452    -5.44256  0.00214254
          84    -5.45469    -5.44271   0.0021219
          85    -5.47351    -5.44307  0.00212765
          86    -5.43224    -5.44294  0.00210663
          87    -5.44988    -5.44302  0.00208392
          88    -5.44793    -5.44308  0.00206099
          89    -5.42244    -5.44285  0.00205084
          90    -5.47798    -5.44324  0.00206486
          91    -5.44142    -5.44322  0.00204226
          92    -5.44032    -5.44319  0.00202031
          93    -5.44344    -5.44319  0.00199859
          94     -5.4441     -5.4432  0.00197735
          95    -5.45068    -5.44328   0.0019581
          96    -5.44269    -5.44327  0.00193772
          97    -5.45908    -5.44343  0.00192458
          98     -5.4569    -5.44357  0.00190984
          99    -5.46989    -5.44384  0.00190896
         100    -5.42244    -5.44362  0.00190183
