#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.60913     1.60913           0
           2     1.37911     1.49412   0.0813247
           3     1.30683     1.43169   0.0744165
           4     1.43231     1.43185   0.0558126
           5     1.56464      1.4584   0.0505757
           6     1.45787     1.45831   0.0421465
           7     1.34488     1.44211   0.0391168
           8     1.34997     1.43059   0.0358826
           9     1.55536     1.44446   0.0344696
          10     1.52667     1.45268   0.0319882
          11     1.45703     1.45307   0.0290826
          12     1.42035     1.45035   0.0267866
          13     1.35025     1.44265   0.0258091
          14       1.564     1.45132   0.0253795
          15     1.57029     1.45925    0.024896
          16     1.60098     1.46811   0.0248662
          17     1.49163     1.46949   0.0234419
          18     1.43494     1.46757    0.022218
          19     1.47801     1.46812   0.0210554
          20     1.65183      1.4773   0.0219148
          21     1.65454     1.48574   0.0224376
          22     1.26662     1.47578   0.0235248
          23     1.50792     1.47718   0.0225435
          24      1.5393     1.47977   0.0217522
          25     1.45072     1.47861   0.0209132
          26     1.59968     1.48326   0.0206207
          27     1.43312     1.48141   0.0199404
          28     1.49435     1.48187   0.0192336
          29     1.50028      1.4825   0.0185809
          30      1.6801     1.48909   0.0190932
          31     1.40257      1.4863   0.0186802
          32     1.38524     1.48314   0.0183615
          33     1.47968     1.48304   0.0178054
          34     1.59302     1.48627   0.0175731
          35     1.74225     1.49358   0.0185305
          36     1.52604     1.49449   0.0180377
          37     1.53127     1.49548   0.0175775
          38     1.48012     1.49508   0.0171196
          39     1.61153     1.49806   0.0169391
          40     1.52217     1.49866   0.0165263
          41     1.48731     1.49839   0.0161255
          42     1.62545     1.50141   0.0160229
          43     1.54676     1.50247   0.0156849
          44      1.5908     1.50448   0.0154564
          45      1.3521     1.50109   0.0154793
          46     1.60526     1.50335   0.0153076
          47     1.53785     1.50409   0.0149995
          48     1.39482     1.50181   0.0148587
          49     1.47143     1.50119   0.0145684
          50     1.53985     1.50196   0.0142976
          51     1.41186      1.5002   0.0141259
          52     1.53559     1.50088   0.0138707
          53     1.50751       1.501   0.0136095
          54     1.68392     1.50439   0.0137726
          55     1.56096     1.50542   0.0135605
          56     1.73144     1.50946   0.0139061
          57     1.53198     1.50985   0.0136677
          58     1.72055     1.51348   0.0139065
          59     1.55557      1.5142    0.013689
          60     1.52189     1.51432   0.0134615
          61     1.57197     1.51527   0.0132739
          62     1.68858     1.51807   0.0133509
          63     1.56975     1.51889   0.0131642
          64     1.43078     1.51751   0.0130303
          65      1.3256     1.51456   0.0131601
          66     1.44971     1.51357   0.0129973
          67     1.58093     1.51458   0.0128421
          68     1.32716     1.51182   0.0129457
          69     1.45431     1.51099   0.0127849
          70     1.58686     1.51207   0.0126481
          71     1.62328     1.51364   0.0125665
          72     1.61747     1.51508   0.0124745
          73     1.48854     1.51472   0.0123089
          74     1.54301      1.5151   0.0121485
          75      1.4147     1.51376   0.0120601
          76     1.51437     1.51377   0.0119014
          77     1.50453     1.51365   0.0117474
          78     1.63817     1.51525   0.0117048
          79     1.43279      1.5142   0.0116031
          80     1.49977     1.51402   0.0114594
          81     1.44864     1.51321   0.0113464
          82     1.56432     1.51384   0.0112251
          83     1.75362     1.51673   0.0114556
          84     1.45497     1.51599   0.0113427
          85     1.37414     1.51432   0.0113314
          86     1.66352     1.51606   0.0113317
          87     1.48356     1.51568   0.0112076
          88     1.61238     1.51678    0.011134
          89     1.71835     1.51905   0.0112368
          90      1.3824     1.51753   0.0112141
          91     1.53579     1.51773   0.0110927
          92     1.51296     1.51768   0.0109722
          93     1.56046     1.51814   0.0108639
          94     1.42208     1.51712   0.0107963
          95       1.474     1.51666   0.0106921
          96     1.49569     1.51644    0.010583
          97     1.38155     1.51505   0.0105649
          98     1.50305     1.51493   0.0104578
          99     1.36451     1.51341   0.0104619
         100     1.75333     1.51581   0.0106289
