#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09654     1.09654           0
           2     1.12496     1.11075    0.010048
           3     1.13142     1.11764  0.00874714
           4     1.11504     1.11699  0.00658437
           5     1.12374     1.11834  0.00540439
           6     1.10566     1.11623  0.00489948
           7     1.13004      1.1182  0.00457954
           8     1.11937     1.11835  0.00400945
           9     1.11082     1.11751  0.00365017
          10     1.11524     1.11728  0.00329222
          11      1.1169     1.11725  0.00299311
          12     1.11746     1.11727  0.00274374
          13     1.12362     1.11775  0.00257581
          14     1.11366     1.11746  0.00240834
          15      1.1129     1.11716  0.00226688
          16     1.12013     1.11734  0.00213283
          17     1.11361     1.11712  0.00201864
          18      1.1347      1.1181  0.00212959
          19     1.12149     1.11828  0.00202498
          20     1.09321     1.11703  0.00227888
          21     1.10545     1.11647  0.00223608
          22     1.12991     1.11708  0.00221622
          23     1.12247     1.11732  0.00213221
          24     1.10088     1.11663  0.00215059
          25      1.0986     1.11591  0.00218219
          26     1.10382     1.11545  0.00214728
          27     1.11976     1.11561  0.00207367
          28      1.1227     1.11586  0.00201503
          29     1.10142     1.11536  0.00200611
          30     1.10116     1.11489  0.00199431
          31     1.12722     1.11529  0.00196927
          32     1.12377     1.11555  0.00192551
          33     1.11553     1.11555  0.00186716
          34     1.09424     1.11492  0.00191454
          35     1.09562     1.11437  0.00193766
          36     1.12669     1.11472  0.00191379
          37     1.11981     1.11485  0.00186701
          38     1.12342     1.11508  0.00183143
          39     1.09224     1.11449  0.00187572
          40     1.09215     1.11393  0.00191017
          41      1.1203     1.11409  0.00186987
          42     1.11084     1.11401  0.00182696
          43     1.11334       1.114  0.00178453
          44     1.08422     1.11332  0.00186786
          45     1.12846     1.11366   0.0018564
          46      1.1004     1.11337  0.00183828
          47     1.09814     1.11304  0.00182751
          48     1.12463     1.11329   0.0018053
          49     1.11707     1.11336  0.00177011
          50     1.10286     1.11315  0.00174713
          51     1.11179     1.11313  0.00171307
          52     1.10749     1.11302  0.00168355
          53     1.11937     1.11314  0.00165604
          54     1.11728     1.11321  0.00162715
          55     1.10195     1.11301   0.0016104
          56     1.08953     1.11259  0.00163533
          57     1.10442     1.11245  0.00161291
          58     1.08365     1.11195  0.00165973
          59     1.11336     1.11197  0.00163177
          60     1.10565     1.11187  0.00160798
          61      1.1112     1.11186  0.00158165
          62     1.09057     1.11151  0.00159296
          63     1.08105     1.11103  0.00163941
          64     1.11963     1.11117  0.00161929
          65     1.12991     1.11145  0.00161985
          66     1.11657     1.11153  0.00159717
          67     1.08368     1.11112  0.00162652
          68     1.12965     1.11139  0.00162529
          69     1.10807     1.11134  0.00160244
          70     1.09378     1.11109  0.00159907
          71     1.09201     1.11082  0.00159897
          72     1.10495     1.11074  0.00157885
          73     1.11524      1.1108  0.00155842
          74     1.11166     1.11081  0.00153741
          75     1.11803     1.11091  0.00151992
          76     1.10685     1.11086  0.00150086
          77     1.10275     1.11075  0.00148506
          78      1.1117     1.11076  0.00146607
          79     1.12078     1.11089  0.00145299
          80     1.10812     1.11085  0.00143524
          81     1.11725     1.11093  0.00141969
          82     1.10725     1.11089  0.00140309
          83     1.09967     1.11075  0.00139267
          84     1.11891     1.11085  0.00137948
          85     1.13027     1.11108  0.00138204
          86     1.10555     1.11101  0.00136746
          87     1.11584     1.11107  0.00135286
          88     1.11417     1.11111  0.00133795
          89     1.09696     1.11095  0.00133232
          90     1.13515     1.11122  0.00134438
          91     1.10999      1.1112  0.00132968
          92     1.10952     1.11118  0.00131535
          93     1.11107     1.11118   0.0013012
          94     1.11111     1.11118  0.00128736
          95     1.11639     1.11124  0.00127498
          96     1.11209     1.11125  0.00126173
          97     1.12055     1.11134  0.00125236
          98     1.12046     1.11143  0.00124303
          99     1.12917     1.11161  0.00124332
         100     1.09764     1.11147  0.00123871
