#   N_BLOCK:  ACCEPTANCE:
           1    0.508898
           2    0.510414
           3    0.510681
           4    0.510196
           5    0.509532
           6    0.509229
           7    0.509516
           8    0.508999
           9    0.509102
          10      0.5091
          11    0.509015
          12    0.509389
          13    0.509472
          14    0.509362
          15    0.509512
          16    0.509751
          17    0.509942
          18    0.510077
          19     0.50992
          20    0.509938
          21    0.509909
          22    0.510006
          23    0.510194
          24    0.510187
          25    0.510244
          26    0.510248
          27     0.51033
          28    0.510415
          29    0.510394
          30    0.510315
          31     0.51028
          32    0.510327
          33    0.510367
          34     0.51038
          35    0.510355
          36    0.510271
          37    0.510229
          38    0.510212
          39    0.510188
          40    0.510144
          41    0.510168
          42    0.510136
          43    0.510157
          44     0.51007
          45    0.510081
          46    0.510021
          47     0.51011
          48     0.51008
          49    0.510056
          50    0.509957
          51    0.509917
          52    0.509941
          53    0.509877
          54    0.509892
          55    0.509835
          56    0.509802
          57    0.509759
          58    0.509776
          59    0.509789
          60     0.50988
          61    0.509808
          62    0.509835
          63    0.509915
          64    0.509846
          65    0.509866
          66    0.509886
          67    0.509919
          68    0.509971
          69    0.509879
          70    0.509852
          71    0.509834
          72    0.509849
          73    0.509839
          74    0.509809
          75     0.50981
          76    0.509784
          77    0.509801
          78    0.509814
          79    0.509763
          80    0.509745
          81    0.509763
          82    0.509802
          83    0.509821
          84     0.50977
          85    0.509773
          86    0.509822
          87    0.509862
          88      0.5099
          89    0.509927
          90    0.509937
          91    0.509957
          92     0.51003
          93    0.510025
          94    0.510061
          95    0.510051
          96    0.510055
          97    0.510048
          98    0.510055
          99    0.510044
         100    0.510052
