#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.4599     -5.4599           0
           2    -5.49581    -5.47786   0.0126965
           3    -5.47465    -5.47679  0.00850924
           4    -5.45599    -5.47159  0.00781098
           5    -5.44255    -5.46578  0.00812559
           6    -5.44271    -5.46193   0.0076269
           7    -5.46152    -5.46188  0.00653757
           8    -5.44597    -5.45989  0.00601518
           9    -5.43347    -5.45695  0.00602034
          10    -5.43235    -5.45449  0.00589961
          11    -5.46363    -5.45532  0.00542147
          12    -5.48573    -5.45786  0.00553008
          13    -5.47649    -5.45929  0.00528717
          14    -5.47996    -5.46077  0.00511149
          15     -5.4648    -5.46104  0.00477779
          16    -5.47931    -5.46218  0.00461369
          17      -5.493    -5.46399  0.00468497
          18    -5.48488    -5.46515  0.00456619
          19    -5.44111    -5.46389  0.00449779
          20    -5.47661    -5.46452  0.00431765
          21    -5.45418    -5.46403  0.00414003
          22      -5.453    -5.46353  0.00398209
          23    -5.49132    -5.46474  0.00398812
          24    -5.46727    -5.46484  0.00382335
          25    -5.45293    -5.46437  0.00369997
          26    -5.47315     -5.4647  0.00357305
          27    -5.48624     -5.4655  0.00352861
          28    -5.46605    -5.46552  0.00340264
          29     -5.4649     -5.4655  0.00328537
          30    -5.46228    -5.46539  0.00317761
          31    -5.42885    -5.46421   0.0032865
          32    -5.47919    -5.46468  0.00321696
          33    -5.48003    -5.46515  0.00315291
          34    -5.47028     -5.4653  0.00306379
          35    -5.46311    -5.46523  0.00297689
          36    -5.43626    -5.46443  0.00300106
          37    -5.45186    -5.46409   0.0029391
          38    -5.46384    -5.46408  0.00286176
          39    -5.46105    -5.46401  0.00278944
          40    -5.44033    -5.46341   0.0027818
          41    -5.44879    -5.46306  0.00273672
          42    -5.45963    -5.46298  0.00267277
          43    -5.48241    -5.46343  0.00264857
          44     -5.4495    -5.46311  0.00260722
          45    -5.47103    -5.46329  0.00255521
          46    -5.45196    -5.46304  0.00251151
          47    -5.48558    -5.46352  0.00250345
          48    -5.43765    -5.46298  0.00250865
          49    -5.45615    -5.46284  0.00246132
          50    -5.45404    -5.46267  0.00241838
          51    -5.47567    -5.46292  0.00238437
          52    -5.48385    -5.46332  0.00237224
          53     -5.4283    -5.46266  0.00241776
          54     -5.4765    -5.46292  0.00238652
          55    -5.44894    -5.46266  0.00235662
          56    -5.45417    -5.46251  0.00231941
          57    -5.44458     -5.4622  0.00229995
          58    -5.46004    -5.46216   0.0022606
          59    -5.46291    -5.46217  0.00222232
          60    -5.50148    -5.46283   0.0022798
          61    -5.43796    -5.46242  0.00227858
          62    -5.47807    -5.46267  0.00225576
          63    -5.49076    -5.46312  0.00226357
          64     -5.4307    -5.46261  0.00228419
          65    -5.47608    -5.46282  0.00225843
          66    -5.48984    -5.46323  0.00226101
          67    -5.47637    -5.46343  0.00223575
          68    -5.48973    -5.46381  0.00223608
          69    -5.46456    -5.46382   0.0022037
          70     -5.4433    -5.46353  0.00219164
          71    -5.45039    -5.46334  0.00216857
          72    -5.45564    -5.46324  0.00214109
          73     -5.4874    -5.46357  0.00213719
          74    -5.46219    -5.46355  0.00210839
          75    -5.45596    -5.46345   0.0020827
          76    -5.46038    -5.46341  0.00205569
          77    -5.49453    -5.46381  0.00206833
          78    -5.47911    -5.46401  0.00205109
          79    -5.44777     -5.4638  0.00203539
          80    -5.45148    -5.46365  0.00201577
          81    -5.46233    -5.46363  0.00199095
          82    -5.47506    -5.46377  0.00197154
          83     -5.4871    -5.46405  0.00196773
          84    -5.43089    -5.46366  0.00198351
          85    -5.47944    -5.46384  0.00196884
          86    -5.47403    -5.46396  0.00194951
          87    -5.46052    -5.46392   0.0019275
          88    -5.48897    -5.46421  0.00192651
          89    -5.46719    -5.46424  0.00190515
          90     -5.4409    -5.46398  0.00190155
          91    -5.47727    -5.46413  0.00188625
          92    -5.47972     -5.4643  0.00187335
          93    -5.46971    -5.46436  0.00185411
          94    -5.47943    -5.46452   0.0018413
          95    -5.47967    -5.46468  0.00182882
          96    -5.46671     -5.4647  0.00180989
          97    -5.46835    -5.46473  0.00179162
          98    -5.45961    -5.46468  0.00177411
          99    -5.46763    -5.46471  0.00175644
         100    -5.48789    -5.46494  0.00175409
