# block_number expected_H error_H
0 -0.45235496 0.00000000
1 -0.44745961 0.00489535
2 -0.44781345 0.00284839
3 -0.44674141 0.00228165
4 -0.44847030 0.00247237
5 -0.44945454 0.00224585
6 -0.45099745 0.00244608
7 -0.44969386 0.00248733
8 -0.44997984 0.00221218
9 -0.45060328 0.00207453
10 -0.45048546 0.00188018
11 -0.44851744 0.00261131
12 -0.44715305 0.00276251
13 -0.44733026 0.00256372
14 -0.44718752 0.00239096
15 -0.44684528 0.00226257
16 -0.44655897 0.00214451
17 -0.44731774 0.00215955
18 -0.44655851 0.00217926
19 -0.44769986 0.00236155
20 -0.44767940 0.00224638
21 -0.44805078 0.00217380
22 -0.44776890 0.00209617
23 -0.44792522 0.00201301
24 -0.44762411 0.00195415
25 -0.44744428 0.00188608
26 -0.44732270 0.00181895
27 -0.44724527 0.00175449
28 -0.44747049 0.00170783
29 -0.44729467 0.00165926
30 -0.44754746 0.00162463
31 -0.44738644 0.00158126
32 -0.44750341 0.00153705
33 -0.44710653 0.00154307
34 -0.44726215 0.00150639
35 -0.44696047 0.00149471
36 -0.44718055 0.00147032
37 -0.44680499 0.00147956
38 -0.44724434 0.00150661
39 -0.44710097 0.00147544
40 -0.44715481 0.00144001
41 -0.44739500 0.00142569
42 -0.44702649 0.00144008
43 -0.44721109 0.00141903
44 -0.44693948 0.00141348
45 -0.44685788 0.00138482
46 -0.44688187 0.00135525
47 -0.44712621 0.00134902
48 -0.44681784 0.00135671
49 -0.44698544 0.00133983
50 -0.44722925 0.00133573
51 -0.44708131 0.00131812
52 -0.44705969 0.00129319
53 -0.44657647 0.00135791
54 -0.44683134 0.00135714
55 -0.44669325 0.00133982
56 -0.44675057 0.00131735
57 -0.44673875 0.00129449
58 -0.44658211 0.00128197
59 -0.44654186 0.00126106
60 -0.44650228 0.00124085
61 -0.44654261 0.00122134
62 -0.44671588 0.00121422
63 -0.44662565 0.00119850
64 -0.44644136 0.00119422
65 -0.44622066 0.00119652
66 -0.44607937 0.00118697
67 -0.44603045 0.00117040
68 -0.44610419 0.00115567
69 -0.44596701 0.00114727
70 -0.44611148 0.00114019
71 -0.44603045 0.00112716
72 -0.44597917 0.00111279
73 -0.44591763 0.00109937
74 -0.44572292 0.00110196
75 -0.44590243 0.00110208
76 -0.44598743 0.00109099
77 -0.44601451 0.00107725
78 -0.44605506 0.00106430
79 -0.44604110 0.00105101
80 -0.44592915 0.00104397
81 -0.44606872 0.00104056
82 -0.44626871 0.00104722
83 -0.44604794 0.00105797
84 -0.44578232 0.00107867
85 -0.44569641 0.00106951
86 -0.44574091 0.00105808
87 -0.44575998 0.00104616
88 -0.44549486 0.00106777
89 -0.44537036 0.00106316
90 -0.44506936 0.00109365
91 -0.44491475 0.00109269
92 -0.44466733 0.00110883
93 -0.44471976 0.00109823
94 -0.44459131 0.00109417
95 -0.44441690 0.00109667
96 -0.44452458 0.00109063
97 -0.44448742 0.00108009
98 -0.44453812 0.00107032
99 -0.44435335 0.00107556
100 -0.44443825 0.00106823
101 -0.44439865 0.00105845
102 -0.44449769 0.00105279
103 -0.44431911 0.00105780
104 -0.44408926 0.00107259
105 -0.44405356 0.00106303
106 -0.44393551 0.00105964
107 -0.44388282 0.00105111
108 -0.44388087 0.00104142
109 -0.44398986 0.00103765
110 -0.44403526 0.00102926
111 -0.44404957 0.00102013
112 -0.44399595 0.00101248
113 -0.44386886 0.00101158
