# SA_step expected_H error_H
0 -0.27563615 0.00309075
1 -0.28334894 0.00302808
2 -0.28133680 0.00292023
3 -0.30804706 0.00277769
4 -0.30660298 0.00285998
5 -0.27898650 0.00312636
6 -0.28374047 0.00298926
7 -0.25422014 0.00327929
8 -0.21916163 0.00334421
9 -0.24388990 0.00335776
10 -0.22888296 0.00340944
11 -0.20583735 0.00364404
12 -0.23075615 0.00339503
13 -0.20180980 0.00366887
14 -0.16632802 0.00388363
15 -0.12299123 0.00407936
16 -0.14198694 0.00411450
17 -0.17344019 0.00387343
18 -0.17362366 0.00381463
19 -0.17655130 0.00389610
20 -0.20824348 0.00361254
21 -0.16609891 0.00375633
22 -0.18950993 0.00362484
23 -0.21022885 0.00368199
24 -0.15971380 0.00384919
25 -0.12018095 0.00430210
26 -0.07443002 0.00469639
27 -0.10027974 0.00413747
28 -0.13662867 0.00413513
29 -0.12708841 0.00413435
30 -0.15168422 0.00399722
31 -0.12994133 0.00432486
32 -0.17532029 0.00386315
33 -0.20297819 0.00365784
34 -0.24799654 0.00335479
35 -0.27697696 0.00307422
36 -0.27961926 0.00302997
37 -0.27888630 0.00295066
38 -0.25640775 0.00330722
39 -0.28655832 0.00287204
40 -0.26734555 0.00325559
41 -0.25476709 0.00334019
42 -0.24617995 0.00329738
43 -0.26193588 0.00325766
44 -0.27700158 0.00301749
45 -0.28978272 0.00282364
46 -0.26270497 0.00324350
47 -0.31780446 0.00273013
48 -0.29483914 0.00279490
49 -0.30875513 0.00286218
50 -0.32214575 0.00274128
51 -0.34121389 0.00245819
52 -0.33671945 0.00256074
53 -0.32184562 0.00270720
54 -0.31166077 0.00263770
55 -0.32343684 0.00264797
56 -0.33991542 0.00249643
57 -0.35637578 0.00227693
58 -0.37754431 0.00207914
59 -0.39226704 0.00183698
60 -0.38427471 0.00194112
61 -0.38104161 0.00199976
62 -0.38927996 0.00188604
63 -0.39786849 0.00180835
64 -0.39515027 0.00185025
65 -0.40387871 0.00167401
66 -0.40910708 0.00161856
67 -0.40508254 0.00164252
68 -0.39849746 0.00177398
69 -0.39900442 0.00177431
70 -0.39773701 0.00174983
71 -0.38865677 0.00199237
72 -0.37691049 0.00205691
73 -0.37602719 0.00209507
74 -0.36085004 0.00218631
75 -0.36209879 0.00222103
76 -0.35721639 0.00221028
77 -0.36484921 0.00215686
78 -0.37390019 0.00204678
79 -0.38507876 0.00191212
80 -0.40016569 0.00169952
81 -0.41390210 0.00159072
82 -0.40210353 0.00165677
83 -0.39839666 0.00173431
84 -0.39583587 0.00177068
85 -0.40679209 0.00167315
86 -0.39600371 0.00179375
87 -0.39206626 0.00176203
88 -0.38591947 0.00191989
89 -0.39729548 0.00178215
90 -0.40542757 0.00169330
91 -0.40655705 0.00168665
92 -0.40063366 0.00179583
93 -0.40723462 0.00166271
94 -0.40053457 0.00169208
95 -0.40874812 0.00155085
96 -0.41975801 0.00143346
97 -0.42212847 0.00136088
98 -0.43218200 0.00123363
99 -0.42145001 0.00135584
100 -0.42931821 0.00124173
101 -0.41649125 0.00134073
102 -0.41190144 0.00146158
103 -0.40511569 0.00154460
104 -0.40556956 0.00152946
105 -0.41193629 0.00147072
106 -0.41225426 0.00152926
107 -0.40690187 0.00149787
108 -0.40732169 0.00158120
109 -0.41086395 0.00153051
110 -0.40853833 0.00157468
111 -0.40632052 0.00169589
112 -0.40116108 0.00172351
113 -0.40828922 0.00161382
114 -0.39344213 0.00181574
115 -0.38055740 0.00196093
116 -0.37739173 0.00199813
117 -0.37199842 0.00205313
118 -0.35864908 0.00226259
119 -0.37068343 0.00215535
120 -0.37224822 0.00217132
121 -0.38020155 0.00201956
122 -0.37525221 0.00207261
123 -0.35194229 0.00223667
124 -0.36630550 0.00214997
125 -0.37376806 0.00214432
126 -0.36895775 0.00208270
127 -0.38919518 0.00183103
128 -0.39215343 0.00193427
129 -0.37708691 0.00214656
130 -0.37378298 0.00207221
131 -0.37813005 0.00200574
132 -0.37867554 0.00204987
133 -0.39318446 0.00185701
134 -0.37499456 0.00196480
135 -0.37669135 0.00216886
136 -0.37725108 0.00201914
137 -0.37287507 0.00203227
138 -0.39019977 0.00185929
139 -0.38470671 0.00197280
140 -0.39206349 0.00189109
141 -0.38507970 0.00192786
142 -0.37681698 0.00214881
143 -0.38852769 0.00189119
144 -0.39231989 0.00183505
145 -0.38874816 0.00191779
146 -0.37585157 0.00204877
147 -0.36292760 0.00216724
148 -0.36988035 0.00211538
149 -0.36226831 0.00225138
150 -0.36425771 0.00212811
151 -0.37444721 0.00203254
152 -0.35605450 0.00222561
153 -0.38149409 0.00197285
154 -0.37022027 0.00212192
155 -0.34964810 0.00231909
156 -0.38093516 0.00185700
157 -0.38952758 0.00190631
158 -0.38353198 0.00189145
159 -0.39324313 0.00184898
160 -0.39654412 0.00179420
161 -0.40086009 0.00169847
162 -0.40148104 0.00172321
163 -0.41454327 0.00159509
164 -0.40733292 0.00164558
165 -0.38981434 0.00179673
166 -0.38110041 0.00203726
167 -0.38716762 0.00195852
168 -0.39029556 0.00181734
169 -0.39802980 0.00169599
170 -0.40510677 0.00161884
171 -0.41964199 0.00150748
172 -0.42406948 0.00136020
173 -0.42365510 0.00134162
174 -0.42446395 0.00133767
175 -0.42032433 0.00137822
176 -0.41550650 0.00154123
177 -0.42345157 0.00136335
178 -0.42622198 0.00124217
179 -0.43659860 0.00120789
180 -0.43664938 0.00116065
181 -0.43804392 0.00109360
182 -0.43755490 0.00105927
183 -0.43928508 0.00101808
184 -0.43856584 0.00100624
185 -0.43808381 0.00107688
186 -0.43565969 0.00106773
187 -0.43665930 0.00118901
188 -0.43603904 0.00110384
189 -0.43389525 0.00124463
190 -0.43144528 0.00119693
191 -0.43328084 0.00121199
192 -0.42918968 0.00123897
193 -0.42989499 0.00124081
194 -0.43047953 0.00125266
195 -0.42291660 0.00131741
196 -0.42061495 0.00141837
197 -0.41858775 0.00150336
198 -0.41154323 0.00160298
199 -0.41990254 0.00150973
200 -0.42026159 0.00145752
201 -0.41613958 0.00145797
202 -0.41315052 0.00152785
203 -0.40948002 0.00157135
204 -0.40435273 0.00169106
205 -0.41141820 0.00158760
206 -0.40638042 0.00169151
207 -0.39909596 0.00177010
208 -0.39263312 0.00187652
209 -0.37615080 0.00205727
210 -0.36549696 0.00206824
211 -0.34888002 0.00234219
212 -0.36538296 0.00216155
213 -0.35253211 0.00225836
214 -0.38723443 0.00194756
215 -0.37440437 0.00209853
216 -0.38408399 0.00187320
217 -0.37536774 0.00210242
218 -0.38854890 0.00186324
219 -0.38916160 0.00193875
220 -0.37688071 0.00197002
221 -0.36725098 0.00223613
222 -0.36926687 0.00215459
223 -0.37943623 0.00195292
224 -0.38012523 0.00198362
225 -0.38927304 0.00185373
226 -0.37999448 0.00198820
227 -0.37303271 0.00212315
228 -0.37665084 0.00214371
229 -0.38842967 0.00180305
230 -0.38053052 0.00200559
231 -0.39305366 0.00180026
232 -0.39070571 0.00189057
233 -0.39044632 0.00189515
234 -0.37388600 0.00205445
235 -0.36419401 0.00230951
236 -0.36659261 0.00207920
237 -0.33931446 0.00233684
238 -0.36488693 0.00210148
239 -0.34438237 0.00231613
240 -0.33635786 0.00233975
241 -0.34184805 0.00230808
242 -0.35263291 0.00229951
243 -0.36470787 0.00209785
244 -0.37985871 0.00194703
245 -0.37816465 0.00205419
246 -0.37377785 0.00204181
247 -0.37295651 0.00210517
248 -0.37911763 0.00201419
249 -0.37245972 0.00208554
250 -0.37949979 0.00198048
251 -0.37066831 0.00207191
252 -0.35072328 0.00227069
253 -0.37092242 0.00206768
254 -0.37043006 0.00201668
255 -0.37203797 0.00196662
256 -0.39109200 0.00181101
257 -0.39014701 0.00183586
258 -0.38111052 0.00203836
259 -0.36387905 0.00211254
260 -0.36722011 0.00211131
261 -0.36475859 0.00209549
262 -0.35851674 0.00220639
263 -0.34823344 0.00230339
264 -0.35706481 0.00218961
265 -0.36057783 0.00216185
266 -0.37169212 0.00204224
267 -0.38098866 0.00198109
268 -0.36744677 0.00211523
269 -0.37599490 0.00202487
270 -0.38103748 0.00191855
271 -0.37289670 0.00205984
272 -0.37267629 0.00192566
273 -0.37970433 0.00198127
274 -0.36295851 0.00222848
275 -0.35257621 0.00228907
276 -0.36560540 0.00218639
277 -0.38148457 0.00196335
278 -0.39387804 0.00182934
279 -0.40258887 0.00171891
280 -0.40201260 0.00174514
281 -0.38931479 0.00190432
282 -0.41245106 0.00156086
283 -0.40311730 0.00174459
284 -0.39678726 0.00177861
285 -0.41103420 0.00158109
286 -0.40230823 0.00164930
287 -0.41237177 0.00142396
288 -0.40783744 0.00159428
289 -0.39401429 0.00176791
290 -0.37982065 0.00198429
291 -0.37593106 0.00197625
292 -0.37246335 0.00215656
293 -0.37662048 0.00204965
294 -0.38345040 0.00191724
295 -0.39909424 0.00175541
296 -0.38696926 0.00191194
