# x_bin_center probability
-3 2e-06
-2.94 3.33333e-06
-2.88 9.66667e-06
-2.82 1.76667e-05
-2.76 2.23333e-05
-2.7 5.26667e-05
-2.64 8.26667e-05
-2.58 0.000128667
-2.52 0.000237333
-2.46 0.000407
-2.4 0.000607333
-2.34 0.000979667
-2.28 0.00165267
-2.22 0.00247867
-2.16 0.00384967
-2.1 0.00584367
-2.04 0.008319
-1.98 0.0123453
-1.92 0.017348
-1.86 0.0241957
-1.8 0.0330217
-1.74 0.0448293
-1.68 0.0590943
-1.62 0.0757703
-1.56 0.09642
-1.5 0.120028
-1.44 0.146917
-1.38 0.175972
-1.32 0.207703
-1.26 0.240084
-1.2 0.272929
-1.14 0.304354
-1.08 0.334354
-1.02 0.360463
-0.96 0.38309
-0.9 0.39929
-0.84 0.4101
-0.78 0.415053
-0.72 0.414835
-0.66 0.407957
-0.6 0.39817
-0.54 0.386068
-0.48 0.369732
-0.42 0.352575
-0.36 0.337189
-0.3 0.322239
-0.24 0.309524
-0.18 0.299026
-0.12 0.292035
-0.06 0.288397
0 0.289681
0.06 0.291431
0.12 0.298614
0.18 0.308676
0.24 0.322065
0.3 0.337249
0.36 0.353352
0.42 0.369562
0.48 0.384833
0.54 0.39851
0.6 0.408533
0.66 0.413867
0.72 0.415077
0.78 0.409863
0.84 0.398093
0.9 0.38249
0.96 0.360156
1.02 0.334029
1.08 0.304367
1.14 0.273276
1.2 0.240391
1.26 0.207349
1.32 0.175546
1.38 0.146204
1.44 0.119765
1.5 0.0968957
1.56 0.076217
1.62 0.058535
1.68 0.0441393
1.74 0.033126
1.8 0.0241657
1.86 0.017644
1.92 0.012216
1.98 0.00850433
2.04 0.0058
2.1 0.00390167
2.16 0.00255967
2.22 0.00165
2.28 0.001009
2.34 0.000661
2.4 0.000369667
2.46 0.000211
2.52 0.000126
2.58 7.1e-05
2.64 4.03333e-05
2.7 1.96667e-05
2.76 1.03333e-05
2.82 6.33333e-06
2.88 3.33333e-06
2.94 6.66667e-07
