# SA_step mu sigma
0 0.79245299 0.49339836
1 0.79662810 0.49609616
2 0.80396527 0.49655915
3 0.79463095 0.50448949
4 0.79020407 0.50375604
5 0.78854407 0.49478426
6 0.79323088 0.49586618
7 0.78776086 0.48897178
8 0.79740181 0.47908523
9 0.79020000 0.48550176
10 0.79820336 0.48223270
11 0.80417913 0.47599974
12 0.81084870 0.48294186
13 0.81556896 0.47615836
14 0.81249287 0.46831646
15 0.80639861 0.46129315
16 0.80737745 0.46523448
17 0.80713374 0.47136384
18 0.81270704 0.46899939
19 0.81198353 0.47033026
20 0.81198322 0.47785664
21 0.80542990 0.46790353
22 0.80938198 0.47527411
23 0.81910695 0.47869870
24 0.81118670 0.46914214
25 0.81186097 0.46049285
26 0.81894854 0.45080579
27 0.82618999 0.45782568
28 0.82915383 0.46391604
29 0.82094100 0.46051129
30 0.81695062 0.46633418
31 0.81457347 0.46254252
32 0.80746503 0.47068415
33 0.80418862 0.47676515
34 0.80008959 0.48600266
35 0.79644553 0.49457309
36 0.79409928 0.49676391
37 0.79022436 0.49543270
38 0.79783303 0.48872901
39 0.79203597 0.49851982
40 0.79069501 0.48956345
41 0.78426750 0.48965969
42 0.77597286 0.48473778
43 0.78591750 0.49036831
44 0.77855333 0.49360274
45 0.77993674 0.49781929
46 0.77993674 0.49781929
47 0.77839061 0.50602181
48 0.77735428 0.49917183
49 0.77001470 0.50271250
50 0.77368762 0.50887586
51 0.77231489 0.51701271
52 0.77641077 0.51381667
53 0.77641077 0.51381667
54 0.78200719 0.50718031
55 0.78692954 0.51000562
56 0.78171109 0.51391938
57 0.77710957 0.52174843
58 0.77797825 0.53160608
59 0.77165932 0.54084784
60 0.77753463 0.53756626
61 0.78458737 0.53509506
62 0.79397611 0.54145776
63 0.79852309 0.54442193
64 0.79838967 0.54370913
65 0.79338908 0.55156636
66 0.79477544 0.55369095
67 0.79447850 0.55115834
68 0.78814924 0.54754610
69 0.77959864 0.54679556
70 0.78479681 0.54514441
71 0.78389338 0.53852387
72 0.79177708 0.53342944
73 0.78276888 0.53469176
74 0.78048491 0.52547455
75 0.77661358 0.52491710
76 0.77977556 0.52297929
77 0.77917086 0.52784011
78 0.78279665 0.53182402
79 0.78424229 0.53983106
80 0.78482595 0.54595146
81 0.79290124 0.55591658
82 0.78355799 0.54735096
83 0.79013601 0.54735956
84 0.79521031 0.54522439
85 0.79901147 0.55076062
86 0.80788142 0.54561832
87 0.80434011 0.54451669
88 0.79926867 0.53852623
89 0.79309320 0.54599686
90 0.79073547 0.55077035
91 0.79140010 0.55143014
92 0.78357442 0.54546597
93 0.77566633 0.54568448
94 0.77461289 0.54321610
95 0.77065710 0.55118298
96 0.76910108 0.55833864
97 0.77795299 0.56073247
98 0.77160512 0.57069115
99 0.76642079 0.56090442
100 0.76036097 0.57050929
101 0.75355385 0.56064576
102 0.74567139 0.55326562
103 0.74567139 0.55326562
104 0.74786266 0.54916358
105 0.75625240 0.55358420
106 0.75018822 0.55454384
107 0.74700520 0.54782769
108 0.75114447 0.54857598
109 0.76020823 0.55263746
110 0.76652125 0.55041310
111 0.76790701 0.54332265
112 0.77752735 0.54224966
113 0.78338240 0.54565542
114 0.78096399 0.53692051
115 0.77417400 0.52948856
116 0.77896280 0.52786440
117 0.77845033 0.52339800
118 0.77096345 0.51744955
119 0.77827352 0.52333992
120 0.77545422 0.52484560
121 0.78226538 0.53039752
122 0.78178229 0.52746303
123 0.79111411 0.51758481
124 0.78808086 0.52061625
125 0.78287931 0.52651969
126 0.77886369 0.52447417
127 0.77944716 0.53440180
128 0.78838269 0.53466584
129 0.79422451 0.52727199
130 0.80005621 0.52727271
131 0.79875993 0.52801841
132 0.80344292 0.52999957
133 0.80690205 0.53840309
134 0.79784793 0.52902044
135 0.79710704 0.52614828
136 0.79964809 0.52757789
137 0.80885350 0.52833005
