UID x y
1 0.794586 0.607151
2 -0.254759 0.967004
3 0.447527 -0.894271
4 0.553643 0.832754
5 0.196705 -0.980463
6 -0.999795 -0.020259
7 -0.945648 0.325193
8 -0.0824021 0.996599
9 -0.229745 -0.973251
10 -0.963127 -0.269047
11 0.999575 -0.0291662
12 0.300898 -0.953656
13 -0.975731 0.218972
14 -0.965608 -0.260001
15 -0.80361 -0.595156
16 -0.977546 -0.210723
17 -0.810449 -0.585809
18 -0.516578 0.85624
19 -0.938318 -0.345773
20 -0.481624 -0.876378
21 -0.932399 0.361431
22 -0.64024 -0.768175
23 -0.755738 0.654874
24 -0.454595 0.890698
25 -0.748771 -0.662828
26 0.662084 -0.74943
27 -0.972517 0.232833
28 -0.44849 0.893788
29 -0.902556 -0.430573
30 -0.793796 -0.608184
31 0.918153 0.396226
32 -0.999644 -0.0266906
33 -0.676508 -0.736435
34 -0.174642 0.984632
