UID x y
35 0.460751 0.380794
36 0.168836 -0.466174
37 0.149724 0.183933
38 -0.240514 0.45608
39 0.136361 0.340197
40 -0.166256 -0.16057
41 -0.237958 -0.477135
42 -0.0838403 0.0136049
43 -0.013403 -0.155235
44 0.148848 -0.216331
45 -0.140139 -0.490104
46 0.382362 0.0112709
47 0.388884 0.296264
48 0.422711 0.329044
49 -0.0709254 -0.489044
50 -0.422791 0.361626
51 -0.458106 -0.441494
52 0.376622 0.00960087
53 0.406767 0.0242323
54 -0.287454 0.254076
55 -0.331039 -0.0213391
56 -0.174118 -0.110234
57 -0.477059 0.0594036
58 -0.269896 0.392132
59 0.00295886 -0.496459
60 0.273063 -0.463104
61 0.166543 -0.373786
62 -0.438804 -0.3455
63 0.0554051 -0.072096
64 -0.275894 -0.277182
65 0.101783 -0.0592678
66 -0.274154 -0.447488
67 0.27213 -0.311218
68 0.27832 -0.256534
