# Best_L1 Average_L1
28.8527 34.5504
28.8527 33.1135
28.8527 30.9699
27.8625 29.926
26.9306 29.5669
24.7846 28.5229
24.3094 27.1133
24.2241 26.5537
24.1754 25.6776
23.4591 24.9995
21.9797 24.5063
21.9797 24.1221
21.3162 23.4468
21.3162 22.9246
19.896 22.2916
19.1868 21.5877
19.1868 21.2801
18.8704 20.9317
17.6513 20.021
17.6513 19.607
17.6513 19.4128
17.6513 18.7056
17.2096 18.9281
16.919 18.4746
16.919 17.9052
15.6939 17.7256
15.6939 17.4279
15.6939 17.2567
15.513 17.1421
15.513 16.8502
15.2925 16.253
15.2925 16.104
15.2925 15.5571
15.1488 15.5221
14.7937 15.6217
14.6839 15.5722
14.6839 15.5405
13.3952 15.3209
13.3952 15.2023
12.9245 15.0288
12.9245 14.2028
12.9245 13.6065
12.7855 13.3376
12.4528 13.3022
12.4528 13.2571
12.4528 13.1308
12.4528 12.808
12.0774 12.8444
12.0774 12.8163
11.8895 12.6472
11.8895 12.6417
11.8895 12.4015
11.8852 12.4913
11.8456 12.2118
11.8396 12.0243
11.8396 12.0952
11.827 12.3061
11.7978 12.09
11.7957 12.1046
11.6711 12.7232
11.6687 12.3033
11.6687 12.3709
11.6687 12.5725
11.6687 12.1989
11.5064 12.2654
11.5064 11.8957
11.5064 12.1204
11.5064 11.6741
11.4151 11.5751
10.7148 11.554
9.31528 11.2094
9.31528 10.806
8.86605 10.0949
8.86605 9.59185
8.86605 9.78096
8.86605 9.24084
8.69211 9.22472
8.53004 9.04251
8.11652 8.89712
8.11652 8.63682
8.11652 8.48316
8.11652 8.28638
8.11652 8.23728
8.01434 8.2422
8.01434 8.26368
7.61665 8.04302
7.61665 7.94187
7.61665 7.84402
7.61665 7.75018
7.61631 7.67991
7.61631 7.64662
7.41267 7.62632
7.41234 7.61395
7.41234 7.98992
7.41234 8.16153
7.41234 7.6514
7.39388 7.43357
7.39388 7.40828
7.39388 7.40155
7.39388 7.39573
7.39388 7.39388
7.39388 7.39425
7.39388 7.41793
7.39388 7.41766
7.36779 7.50854
7.36779 8.55521
7.36779 8.25335
7.36534 7.95832
7.36534 7.76538
7.36534 7.83752
7.36534 7.52909
7.36534 7.40209
7.36534 7.37499
6.9873 7.3661
6.9873 7.60283
6.9873 7.54714
6.9873 7.61405
6.88729 7.14402
6.88729 7.10044
6.88729 6.92929
6.88729 6.931
6.50656 6.91985
6.50656 6.84648
6.50656 6.72198
6.50656 6.79335
6.50656 6.88456
6.50656 6.83544
6.50656 6.62548
6.50656 6.52177
6.50656 6.86797
6.50656 7.95372
6.50656 8.08997
6.50656 7.18724
6.50656 6.61041
6.50656 6.62776
6.50656 6.50656
6.50656 6.59795
6.50656 6.59098
6.50656 6.77412
6.50656 6.88493
6.36528 6.56959
6.36528 6.50041
6.36528 6.42387
6.36528 6.38506
6.36528 6.36528
6.36528 6.36528
6.36528 6.40047
6.36528 6.36528
6.36528 6.41754
6.36528 6.56842
6.36528 6.4148
6.36528 6.36782
6.36528 6.36528
6.36528 6.36528
6.36528 6.40696
6.36528 6.36528
6.36528 6.36528
6.26926 6.36401
6.26926 6.46885
6.26926 6.29998
6.26926 6.28462
6.26926 6.30076
6.25562 6.26898
6.25562 6.2668
6.25562 6.27349
6.25562 6.25753
6.25562 6.25589
6.25562 6.25983
6.25562 6.25764
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.25562 6.26533
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.25562 6.27291
6.25562 6.25562
6.25562 6.25562
6.25562 6.25562
6.2325 6.25572
6.2325 6.31229
6.2325 6.24633
6.2325 6.79139
6.2325 6.99651
6.2325 6.58694
6.2325 6.61633
6.2325 6.50969
6.2325 6.26056
6.2325 6.28132
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.25502
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2361
6.2325 6.2325
6.2325 6.24618
6.2325 6.2325
6.2325 6.26161
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23442
6.2325 6.2325
6.2325 6.2325
6.2325 6.23532
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23278
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.35655
6.2325 6.3917
6.2325 6.24012
6.2325 6.23617
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24279
6.2325 6.2386
6.2325 6.25747
6.2325 6.2325
6.2325 6.2325
6.2325 6.24007
6.2325 6.36123
6.2325 6.33715
6.2325 6.28561
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24807
6.2325 6.2325
6.2325 6.24052
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.242
6.2325 6.2325
6.2325 6.2325
6.2325 6.23532
6.2325 6.24475
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2739
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2361
6.2325 6.2325
6.2325 6.2325
6.2325 6.25785
6.2325 6.2529
6.2325 6.24896
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23362
6.2325 6.2325
6.2325 6.24336
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23784
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24643
6.2325 6.2325
6.2325 6.24768
6.2325 6.26682
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2356
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.25745
6.2325 6.2325
6.2325 6.25906
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.26661
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.30213
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23509
6.2325 6.25983
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23532
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.25165
6.2325 6.23943
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24176
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23573
6.2325 6.25971
6.2325 6.2361
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.23403
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2673
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24945
6.2325 6.24304
6.2325 6.2456
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
6.2325 6.24287
6.2325 6.2325
6.2325 6.2325
6.2325 6.2325
