# Best_L1 Average_L1
15.2749 16.6492
14.4569 16.1641
13.6499 15.6339
13.6499 15.1166
13.5517 14.6017
11.6705 14.1155
11.6705 13.4807
11.4867 12.9851
11.4867 12.5763
10.2332 12.1001
10.2332 11.6007
9.75849 11.3542
9.75849 10.6776
9.75849 10.2217
9.67914 10.1496
9.67914 10.1901
9.67914 10.2182
9.55802 10.0664
9.55802 10.014
9.55802 9.77009
9.52079 9.68557
9.47591 9.75772
9.47591 9.80448
9.47591 9.79611
9.21354 9.7146
9.21354 9.82132
8.79199 9.67687
8.72171 9.58537
8.75624 9.47299
8.63205 9.38828
8.2091 9.00238
8.12501 8.93262
8.02446 8.74412
8.02116 8.49943
8.02116 8.28216
8.02116 8.1157
7.94037 8.15622
7.94037 8.25866
7.94037 8.07288
7.92125 8.03655
7.71733 7.95332
7.71733 7.90682
7.71733 7.94279
7.71733 7.83919
7.71733 7.96713
7.71733 7.95536
7.68388 7.77496
7.68388 7.82501
7.58669 7.78144
7.55325 7.72565
7.5498 7.65522
7.53168 7.60806
7.53168 7.75468
7.53168 7.82218
7.53168 7.76899
7.36053 7.65821
6.94774 7.73633
6.94774 7.74687
6.94774 7.61029
6.94774 7.52671
6.94774 7.343
6.94774 7.17096
6.94774 7.26666
6.94774 7.06963
6.86417 7.03901
6.86417 7.12568
6.86417 7.05946
6.72732 7.01104
6.72732 7.12849
6.67149 7.10755
6.67149 6.81223
6.67149 6.79751
6.67149 6.72544
6.59044 6.67592
6.59044 6.66609
6.59044 6.76902
6.54703 6.61927
6.4769 6.58188
6.4769 6.62781
6.4769 6.67295
6.4769 6.68281
6.4769 6.56687
6.4769 6.52128
6.4769 6.50111
6.4769 6.63309
6.47209 6.54897
6.47209 6.60525
6.47209 6.54283
6.47209 6.50108
6.47209 6.61524
6.47209 6.69014
6.47209 6.5119
6.47209 6.59345
6.35893 6.5278
6.35893 6.47474
6.35893 6.43232
6.35893 6.43721
6.35893 6.38157
6.35893 6.38138
6.35893 6.3608
6.35893 6.39657
6.35893 6.40253
6.35893 6.36174
6.35893 6.35893
6.35893 6.37452
6.35893 6.35893
6.04713 6.39698
6.04713 6.32089
5.90851 6.24606
5.90851 6.06258
5.77385 5.95784
5.77385 5.91928
5.77385 5.82772
5.77385 5.79271
5.73707 5.83571
5.73707 5.77496
5.73707 5.76378
5.73707 5.73928
5.6955 5.73541
5.6955 5.72044
5.6955 5.70905
5.6955 5.7571
5.6955 5.73081
5.6955 5.72025
5.6955 5.6955
5.6955 5.6955
5.62783 5.69414
5.61938 5.68023
5.51915 5.77786
5.51915 6.04119
5.51915 5.97211
5.51915 5.7275
5.51915 5.54862
5.44082 5.53438
5.44082 5.50035
5.44082 5.47529
5.44082 5.46233
5.44082 5.44082
5.44082 5.44229
5.43237 5.44065
5.43237 5.50841
5.43237 5.7112
5.43237 5.7951
5.43237 5.73171
5.43237 5.63277
5.43237 5.57376
5.43237 5.48867
5.43237 5.46349
5.43237 5.54807
5.43237 5.62575
5.33157 5.49749
5.33157 5.47872
5.33157 5.48124
5.33157 5.41717
5.33157 5.34707
5.33157 5.33329
5.33157 5.36167
5.33157 5.33157
5.33157 5.40985
5.33157 5.33157
5.33157 5.33157
5.33157 5.33157
5.33157 5.33157
5.33157 5.33157
5.33157 5.33157
5.33157 5.46288
5.33157 5.37963
5.32348 5.46542
5.32348 5.33471
5.32348 5.33209
5.32348 5.32493
5.2138 5.34647
5.2138 5.32922
5.2138 5.33104
5.2138 5.23354
5.2138 5.22565
5.2138 5.2138
5.2138 5.24951
5.2138 5.21411
5.2138 5.21509
5.2138 5.2138
5.2138 5.22108
5.2138 5.2138
5.2138 5.2138
5.2138 5.2138
5.13049 5.21213
5.0751 5.21694
5.0751 5.19775
5.0751 5.15559
5.0751 5.07713
5.0751 5.10786
5.0751 5.15865
5.0751 5.09168
5.0751 5.11752
5.0751 5.0751
5.0751 5.0751
5.0751 5.0751
5.0751 5.0751
5.0751 5.09019
5.06901 5.11864
5.06901 5.15078
5.06901 5.07132
5.06901 5.09061
5.06901 5.07516
5.06901 5.06901
5.06901 5.10921
5.06901 5.06901
5.06901 5.06901
5.03531 5.06833
5.03531 5.0948
5.00665 5.04754
4.97296 5.03393
4.96 5.01886
4.96 4.98566
4.96 4.96358
4.96 4.96187
4.95391 4.99023
4.95391 4.9583
4.95391 4.95476
4.95391 4.95391
4.95391 4.95391
4.95391 4.98891
4.95391 5.12859
4.95391 5.00319
4.95391 4.95517
4.95391 4.95391
4.95391 4.97552
4.95391 4.95391
4.95391 4.97703
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.98637
4.95391 4.95548
4.95391 4.95391
4.95391 4.95391
4.95391 4.95391
4.95391 4.95895
