# best_L1 average_L1
425.17 477.796
417.358 461.523
411.511 441.358
400.847 429.57
395.415 418.201
377.63 408.14
376.938 399.296
370.333 390.965
367.933 384.912
367.119 380.208
360.598 376.814
356.339 373.424
352.288 369.569
345.602 366.551
343.492 361.556
330.661 355.436
319.84 346.79
318.243 340.246
314.797 333.912
314.797 328.902
310.568 325.584
309.87 320.567
305.808 316.508
303.161 313.016
297.389 310.476
293.399 306.601
289.521 302.644
288.202 298.19
283.697 294.98
283.264 292.445
276.334 289.424
274.713 286.501
271.306 283.727
266.926 281.05
264.291 278.089
261.848 274.115
257.872 270.351
256.016 267.507
253.513 264.655
246.263 261.517
240.006 256.991
238.64 251.785
235.923 247.504
232.831 244.112
232.831 241.335
231.653 238.528
229.211 236.799
225.42 234.33
219.54 231.936
218.098 228.867
217.528 226.095
215.914 223.543
214.696 221.75
212.858 219.645
212.668 217.672
211.155 216.083
208.632 214.753
207.555 213.695
204.264 212.149
203.9 209.99
201.352 207.742
199.032 206.343
199.032 204.375
194.719 202.59
191.486 200.936
187.7 199.353
187.331 196.581
185.599 195.483
183.928 193.743
183.244 190.965
182.019 189.633
176.534 187.594
176.534 185.727
174.487 182.716
174.487 180.19
173.522 177.765
172.575 176.265
168.99 175.074
168.99 174.268
166.399 173.316
166.28 171.169
162.375 168.812
162.375 168.29
162.375 167.951
162.375 167.36
162.159 165.865
162.159 164.904
161.323 165.782
157.279 165.832
157.063 165.513
156.27 164.067
155.029 161.946
152.89 159.621
152.89 158.098
152.097 156.846
152.097 155.488
151.656 153.708
149.859 153.035
149.113 152.613
148.164 151.698
148.006 151.802
145.047 150.625
145.047 150.068
144.301 149.186
144.301 148.518
143.455 147.482
142.845 145.91
142.099 145.381
141.957 144.626
141.174 144.047
139.905 142.789
139.905 142.37
139.737 141.529
139.44 141.118
139.302 141.698
138.443 141.546
138.443 141.257
138.274 141.681
137.905 141.092
137.79 140.248
137.547 140.415
136.145 139.032
135.442 138.363
134.528 138.29
133.8 137.953
132.685 136.857
131.251 135.364
131.251 134.744
130.766 134.188
130.766 133.078
129.866 132.491
129.815 132.516
129.198 132.089
128.911 132.038
127.161 131.313
127.161 131.658
127.161 131.582
127.161 131.664
127.161 129.339
126.543 128.443
126.446 127.925
126.446 127.633
125.673 127.262
123.3 126.749
123.123 126.956
122.805 127.478
122.743 126.051
121.689 126.102
121.689 125.578
121.652 125.017
121.191 123.528
120.498 122.429
120.498 122.229
118.409 122.686
118.409 122.805
117.906 121.834
116.091 120.81
116.091 120.153
115.95 120.421
115.95 120.285
115.95 120.987
115.461 120.085
115.08 118.621
114.482 117.306
114.482 116.257
114.482 115.451
114.058 115.059
113.77 114.812
113.76 114.481
111.301 114.131
111.039 113.756
108.879 113.114
108.879 112.584
108.607 111.871
108.019 112.727
108.019 113.072
108.019 113.534
108.019 112.877
108.019 110.207
107.457 108.714
107.457 108.198
107.457 108.261
107.154 107.877
106.812 107.58
105.403 107.595
103.127 107.241
102.824 106.626
102.824 105.177
102.541 103.922
102.343 103.431
101.316 102.791
101.316 102.529
100.834 102.183
100.834 101.574
100.607 101.276
99.8938 100.99
99.6663 100.692
99.5949 100.391
99.3675 100.142
99.3675 100.171
97.0944 100.4
96.8919 101.522
96.7346 101.081
96.7346 100.719
96.101 99.0196
95.9437 98.1694
95.9437 97.6032
95.9437 96.8074
94.4563 96.1356
94.4563 95.9594
93.5993 95.4798
