# best_L1 average_L1
422.285 473.174
394.036 455.378
392.955 434.492
379.726 418.723
373.906 407.242
367.473 395.797
360.632 386.157
355.649 378.008
350.076 371.283
346.582 365.742
337.341 358.576
330.958 351.954
320.822 345.439
314.588 338.406
309.865 331.528
305.543 326.47
303.069 320.077
295.418 313.802
291.743 309.512
287.88 303.984
283.016 299.242
282.384 294.262
276.513 290.38
272.366 286.928
267.961 283.89
267.293 280.665
257.621 276.738
255.483 273.018
244.928 268.792
242.519 263.517
240.751 257.436
236.382 252.752
236.165 248.181
228.803 244.697
228.458 241.702
221.107 238.008
221.107 234.338
218.651 230.036
216.588 226.456
215.809 223.452
211.421 221.56
209.193 219.531
204.802 217.755
201.429 214.696
201.429 212.425
198.463 210.414
198.463 208.464
193.332 206.285
193.332 204.005
191.819 201.644
188.546 198.759
188.546 196.69
185.332 194.506
184.791 193.381
184.651 191.565
182.022 189.649
181.339 188.297
179.812 186.294
179.699 184.471
177.963 183.244
177.878 182.052
176.751 181.058
174.81 179.722
173.448 178.662
173.448 177.942
169.869 176.788
169.335 175.542
169.329 173.884
167.778 172.422
167.372 171.823
164.819 170.585
162.417 169.735
160.015 168.854
156.478 167.795
155.252 166.665
153.658 164.772
151.836 161.993
151.836 160.338
150.27 157.708
149.638 155.398
148.665 153.933
148.665 153.114
148.595 151.654
146.815 151.341
146.35 150.417
144.95 149.644
142.931 148.865
142.913 147.489
142.661 146.287
141.704 145.037
141.704 144.18
141.062 143.34
140.776 143.135
137.711 143.619
137.711 143.147
135.275 141.736
134.177 140.388
133.815 138.71
132.237 137.699
131.875 136.107
131.156 134.815
131.017 134.332
129.251 134.475
128.031 133.354
127.431 132.096
127.431 131.21
126.269 129.873
126.269 129.059
125.055 128.321
124.616 127.71
124.155 127.509
124.155 126.766
122.938 126.595
122.038 126.929
121.363 126.032
121.363 125.708
121.293 124.162
121.264 123.43
120.959 123.497
120.828 122.781
119.988 121.823
119.584 121.687
119.449 121.119
118.743 120.63
118.743 120.213
118.068 119.759
116.567 119.205
116.434 118.918
116.149 118.098
115.715 117.373
115.197 116.914
114.847 116.767
114.567 116.309
113.883 115.832
113.883 116.074
113.771 116.539
112.954 116.851
112.89 116.733
111.96 115.605
111.56 115.566
110.784 113.478
110.784 112.596
110.53 111.761
109.743 111.365
109.508 110.926
108.72 110.509
108.226 109.99
107.68 109.669
106.211 109.068
106.211 108.548
105.278 108.569
103.838 110.023
103.838 109.8
103.838 109.601
102.905 108.888
102.905 107.109
101.961 104.86
101.961 103.702
100.653 102.966
99.709 102.473
99.2845 101.845
99.2845 101.098
99.2845 100.499
99.2845 99.892
99.0829 99.4773
98.4694 99.3226
97.8433 99.1466
97.8433 98.8358
97.8433 98.4395
96.9258 98.0702
96.5014 97.8605
96.4234 97.4717
96.2565 97.0041
96.1784 96.7525
95.9003 96.4277
95.7181 96.2888
95.0808 96.1421
94.5424 95.9474
94.1611 95.5771
93.883 95.1737
93.7348 94.6884
92.6397 94.3217
92.6397 94.1122
92.3616 93.8149
92.2022 93.5291
91.9106 93.2783
91.7511 92.916
91.5197 92.8283
91.5197 92.5658
91.5197 92.2457
91.4666 92.0203
91.2315 91.6211
90.947 91.515
90.947 91.3616
90.9168 91.1774
90.1899 91.0318
90.1899 90.9461
88.6464 90.6778
88.6464 90.3398
88.6464 89.9187
88.29 89.6093
88.29 89.5374
88.29 90.5214
88.29 91.5235
88.29 90.8362
88.29 89.4736
