# best_L1 average_L1
413.447 474.584
404.905 456.827
399.693 435.453
392.728 422.077
372.753 410.624
371.037 400.282
362.457 391.873
357.566 381.529
356.596 373.271
349.18 367.133
337.782 362.407
335.277 357.099
319.755 350.22
317.879 344.474
312.393 337.287
312.393 331.644
304.268 324.658
300.775 318.308
290.48 313.037
286.498 308.159
282.799 300.994
278.83 293.8
276.422 288.114
270.829 284.413
267.089 281.199
264.905 277.664
261.654 273.167
260.633 269.282
257.066 266.571
254.273 264.092
251.401 261.92
249.84 259.645
246.743 257.546
244.095 254.783
242.484 251.777
239.471 249.658
237.837 247.06
235.322 245.241
233.432 243.095
227.874 241.15
226.774 238.147
221.847 234.714
219.058 231.313
217.451 227.987
215.559 224.929
214.691 222.09
212.249 220.888
210.937 219.914
207.814 217.67
207.185 215.992
203.706 214.016
202.68 211.272
201.076 209.881
201.076 208.071
198.689 206.155
196.979 204.059
194.85 202.719
193.421 200.818
187.893 199.407
187.893 197.729
186.645 196.342
185.303 194.711
182.005 192.565
181.736 190.285
181.736 188.319
181.736 186.092
179.948 185.117
178.592 184.636
176.925 183.738
173.656 182.438
173.656 180.817
172.503 179.007
171.394 177.56
171.037 176.279
170.769 175.463
169.713 174.471
169.21 173.403
167.887 172.452
167.299 171.242
165.173 170.532
164.521 169.876
163.3 168.904
160.92 168.558
159.7 166.891
159.7 165.278
158.738 164.02
156.113 162.787
156.113 161.622
154.69 160.609
152.217 160.135
152.217 158.738
151.562 157.131
150.145 155.755
148.414 154.811
148.414 152.951
148.125 151.178
147.597 150.127
146.418 149.048
144.803 148.665
144.339 148.325
143.166 147.381
141.899 146.325
139.91 145.223
139.91 144.42
139.674 143.069
138.82 142.404
138.376 141.753
136.204 140.657
136.204 140.155
135.507 140.672
132.194 140.717
131.772 139.627
131.771 139.169
131.771 137.733
129.168 136.802
128.229 135.439
127.038 134.182
126.97 132.607
123.789 131.096
123.789 128.931
122.741 126.684
122.741 125.819
122.327 126.377
121.668 126.504
121.08 125.692
120.377 126.164
120.19 126.318
120.19 126.262
119.785 126.498
118.736 126.911
118.502 125.733
118.502 125.089
117.453 124.102
116.687 122.355
116.094 120.085
116.094 119.05
114.419 119.469
114.419 119.805
114.419 119.254
114.419 118.569
114.419 117.477
114.241 116.299
114.241 115.484
113.497 115.857
113.497 116.443
112.843 116.153
112.232 115.721
111.869 115.856
110.927 116.087
110.927 116.075
110.927 115.784
110.326 116.666
109.471 115.871
109.471 114.997
108.87 113.068
108.87 111.852
108.603 111.477
108.603 110.484
108.236 109.794
108.108 109.802
107.63 109.939
107.63 109.892
107.338 109.541
105.445 108.967
104.967 107.894
104.967 106.855
104.475 106.027
104.063 105.628
103.887 105.406
103.887 104.793
103.246 104.43
103.094 104.14
102.459 104.257
102.459 104.177
102.456 105.514
102.456 106.077
102.456 106.44
102.456 105.492
101.872 104.337
101.821 103.363
100.226 102.852
100.226 103.239
100 103.433
100 103.713
100 102.64
100 101.378
99.3654 100.913
98.7717 100.799
98.7717 101.113
98.7717 100.573
97.4214 99.8485
97.4214 99.5234
96.8532 98.4973
96.7743 98.0081
96.4427 97.6111
95.7913 97.1295
95.7913 97.008
94.7131 96.5495
94.7131 96.3095
94.7131 96.1157
94.6246 95.8852
94.6246 95.8603
94.3805 95.7158
94.1196 96.116
93.0413 96.112
92.9529 95.6889
92.4511 95.2681
92.3183 95.0105
92.1694 94.432
91.9257 94.8603
91.6439 94.1893
91.1661 93.5376
91.1661 92.8531
91.1661 92.0854
90.8133 91.5224
90.8133 91.4414
90.4891 92.5916
90.4891 93.885
90.4848 93.817
90.4848 92.9305
90.4848 92.1886
90.4848 91.2444
90.4848 90.5939
89.8368 90.4828
89.8368 90.4585
89.604 90.3541
89.2023 90.1336
88.8998 90.1255
88.8998 90.3343
88.8817 90.5808
88.4827 89.8526
87.8481 89.2709
87.8481 89.1651
87.8481 89.8157
87.8481 91.3184
87.7986 91.4221
87.7986 90.6183
87.6997 89.7614
87.6267 90.0449
87.6267 89.9203
87.5219 90.0468
87.5219 88.6227
87.3958 88.4415
87.3826 88.0006
86.9582 87.9579
86.9582 87.8361
86.1994 87.9188
85.2764 87.5006
85.2764 86.7552
85.2764 86.0352
85.1396 85.6088
85.1319 85.4137
85.1319 85.2336
85.1319 85.1813
84.8768 85.1514
84.8691 85.1104
84.8691 85.0267
84.754 84.9405
84.4732 84.9045
84.4732 85.5159
84.4732 86.2928
84.4732 86.2971
83.4703 85.3791
83.4703 84.8507
83.2865 84.4876
83.2681 84.1675
82.2653 83.6663
82.2653 83.4371
82.2653 82.9933
82.2653 82.5898
82.0497 82.3653
82.0497 82.3384
81.9874 82.2374
81.9874 82.1288
81.787 82.0575
81.5091 81.9977
81.5091 81.8762
81.5091 81.6822
81.4288 81.5815
81.2937 81.5689
80.6949 81.6305
80.4794 81.763
80.4794 81.7326
80.4794 81.1666
80.4794 80.6794
80.4794 80.5041
80.4794 80.4794
80.4794 80.5188
80.4794 81.1066
80.4794 82.3428
80.4794 82.4479
80.4794 81.9941
80.4794 81.3128
80.4794 80.5226
80.4794 80.4854
80.4794 80.4794
80.4794 80.4794
80.3404 80.4792
80.267 80.4659
80.128 80.4125
80.128 80.3165
80.128 80.2218
80.128 80.1705
79.4737 80.1267
79.4737 80.0969
79.4737 80.1293
79.4737 81.1649
79.4737 82.4519
79.4737 82.8647
79.4737 82.0312
79.4737 80.7936
79.087 79.9807
79.087 79.4412
79.087 79.3113
79.0167 79.1656
78.63 79.101
78.63 79.0156
78.63 78.8618
78.1745 78.7399
78.1745 78.6135
78.1745 78.4491
78.1745 78.303
77.3785 78.195
77.3785 78.1052
76.3491 77.8762
76.1524 77.4837
76.1524 77.0707
75.9622 77.1892
75.9622 77.1282
75.9622 77.0662
75.9622 77.5294
75.9622 78.0219
75.9622 78.3334
75.9622 78.8145
75.9622 78.083
75.9622 76.5598
75.9622 76.0862
75.9622 75.9622
75.9622 75.9622
75.9622 75.9622
75.7977 75.9619
75.7977 75.9537
75.7391 76.0745
75.7012 76.5255
75.7012 76.6177
75.695 76.4273
75.695 76.6069
75.695 76.7036
75.695 76.356
75.695 75.8426
75.695 75.725
75.695 75.7347
75.695 75.695
75.4297 75.6944
75.4297 75.6709
75.2128 75.5861
74.9474 75.4705
74.7669 75.3271
74.7183 75.1196
74.0185 74.9114
73.8952 74.7263
73.6915 74.4357
73.666 74.1449
73.666 73.9375
73.6174 74.1434
73.6174 74.4271
73.6174 74.076
73.4623 73.6828
72.9662 73.6056
72.9662 73.4924
72.9662 73.2944
72.8492 73.1206
72.8492 72.9956
72.8311 72.9221
72.8208 72.8823
72.8208 72.8396
72.8208 72.8289
72.8208 72.8234
72.8208 72.821
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.8208 72.8208
72.6929 72.8205
72.6929 72.8095
72.6929 72.76
72.6081 72.7124
72.6081 72.6827
72.6081 72.65
72.6081 72.6185
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.6081 72.6081
72.1753 72.6072
72.1753 72.5579
72.1753 72.4051
72.1753 72.2762
72.1753 72.1897
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1753 72.1753
72.1001 72.1751
72.1001 72.1692
71.948 72.1443
71.948 72.0999
71.948 72.0285
71.948 71.9681
71.948 71.948
71.948 71.948
71.948 71.948
71.948 71.948
71.948 71.948
71.948 71.948
71.948 71.948
71.8688 71.9479
71.8688 71.9382
71.8688 71.9081
71.8688 71.8796
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.8688 71.8688
71.7876 71.8686
71.7876 71.8629
71.7876 71.8399
71.7876 71.8126
71.7876 71.79
71.7876 71.8022
71.7876 72.7119
71.7876 73.508
71.7876 73.3047
71.7876 72.5574
71.7876 71.8559
71.7876 71.7876
71.7876 71.7876
71.7876 71.7876
71.7876 71.7876
71.7876 71.7876
71.3521 71.7867
71.3521 71.7623
71.3521 71.6942
71.3521 71.5905
71.3521 71.4355
71.3521 71.3751
71.2616 71.3519
71.2616 71.342
71.2616 71.3076
71.2616 71.2739
71.2616 71.2616
71.2445 71.2615
71.2445 71.2601
71.0188 71.2536
71.0188 71.2206
71.0188 71.1244
71.0188 71.05
71.0188 71.0188
71.0188 71.0188
71.0188 71.0188
70.6827 71.0181
70.6827 70.9913
70.6827 70.8803
70.6827 70.8303
70.6827 72.347
70.6827 73.4822
70.6827 72.719
70.6827 71.0379
70.6827 70.6859
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.6827 70.6827
70.3996 70.6821
70.3996 70.6549
70.3996 70.5529
70.3996 70.4556
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.3996 70.3996
70.2808 70.3994
70.2808 70.3837
70.2808 70.3326
70.2808 70.2927
70.2808 70.2808
